ID,Brand,Country,Ad,First.Run,URL,Launch/Pre,ABX.ID,Campaign.Flight.1,Campaign.Flight.2,Campaign.Flight.3,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand,Clear.Brand,Message.Delivery,Clear,Understood,Reputation,Relevant,See.Again,Like,Dislike,Purchase,Recommend,Branding.Correct.Recall
1,Amazon,Germany,Date Night DE 30,2020-01-13,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-LgNjF8MhtedEEPkGwAee4F71l8%2BdvbmOnvRJJCI%3D-BWNgeotDippo8N5K8af4JQ%3D%3D,Launch,7391804,DE EP Best Friend Q1'20,DE EP Joy Delivered Q1'21,,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.90 ,0.67 ,0.75 ,0.80 ,0.30 ,0.61 ,0.59 ,0.50 ,0.11 ,0.11 ,0.12 ,0.00 
2,Amazon,Germany,"Low prices - skipping ropes, hand towels & blenders",2020-01-27,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-rbyFqIATHECVxhAUJ2w8maeIwscmhRjdvIMwpCA%3D-TEIux3QKpMaX35uyZo8ozQ%3D%3D,Launch,7561429,DE Fundamentals Q1'20,,,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.85 ,0.58 ,0.61 ,0.69 ,0.27 ,0.54 ,0.52 ,0.40 ,0.21 ,0.23 ,0.09 ,0.23 
5,Amazon,United States,AT AMAZON WE'RE PRETTY GOOD AT GETTING THINGS DONE,2020-04-16,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-6Z5nR8N%2BkMcKVuwWj45zow41xb5HmUwyOkOvP0Q%3D-Jd978EkK6yoj4F9q1S2m0g%3D%3D,Launch,7837759,US_this is amazon_2020Q2,,,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.95 ,0.85 ,0.87 ,0.95 ,0.55 ,0.81 ,0.69 ,0.67 ,0.02 ,0.27 ,0.24 ,0.41 
7,Amazon Corporate,United Kingdom,Amazon Safety 30 UK,2020-04-22,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-Qs8QNMP54O7tinvsYAIduqRdLtbGHFVxW4gJpBU%3D-kqkx0HLnhIT4kn3Rjwtp7Q%3D%3D,Launch,7851853,UK_this is amazon_2020Q2,,,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0.94 ,0.80 ,0.82 ,0.88 ,0.57 ,0.77 ,0.59 ,0.58 ,0.07 ,0.24 ,0.16 ,0.48 
9,Amazon Corporate,United States,(TEXT) WE DON'T JUST THINK BIG WE DO BIG WE'VE,2020-05-13,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-0FzoWrSnqXvvgr9tWywX1CpxnOSF869wjG3E3BU%3D-0y8PBp92KLc2K%2B2XVKDsAw%3D%3D,Launch,7925617,US_this is amazon_2020Q2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0.81 ,0.74 ,0.75 ,0.83 ,0.48 ,0.68 ,0.63 ,0.54 ,0.04 ,0.28 ,0.15 ,0.42 
10,Amazon Corporate,United States,I'M KEN POHLMANN I'M AN AREA MANAGER FOR DELIVERY,2020-05-22,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-HlqToIdPPgxTo5wvGoly7xdb9%2FQrite3m6CkTFI%3D-1%2FonRXZPF%2FMbxUnE2%2FlIsw%3D%3D,Launch,7952690,US_this is amazon_2020Q2,,,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,6,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0.99 ,0.82 ,0.84 ,0.89 ,0.58 ,0.83 ,0.70 ,0.68 ,0.05 ,0.23 ,0.22 ,0.42 
11,Amazon Corporate,United States,MY NAME IS OSCAR AND I DELIVER PACKAGES FOR AMAZON,2020-05-24,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-IXSZcvyVzmyIiqTpsqbfezFOLZ%2F8e3NZKttZx9Q%3D-EqJfHcK4Smj1mqQ6lIv9ow%3D%3D,Launch,7956795,US_this is amazon_2020Q2,,,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,4,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0.95 ,0.77 ,0.81 ,0.85 ,0.41 ,0.75 ,0.59 ,0.54 ,0.03 ,0.17 ,0.19 ,0.33 
12,Amazon Corporate,United States,Oscar 60,2020-05-29,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-cDnZcquFnnUEaeLEu0Nu0SP7HCXaB1W5CpOQ3iU%3D-nhComZtCy2RVGoqWfnm5Ig%3D%3D,Launch,7970916,US_this is amazon_2020Q2,,,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,4,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0.96 ,0.85 ,0.87 ,0.95 ,0.60 ,0.81 ,0.74 ,0.65 ,0.03 ,0.25 ,0.24 ,0.35 
13,Amazon Corporate,United States,Kent 30,2020-05-29,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-syFco%2FsYu%2B%2FOe0PidZz5qs9%2FaMShovbVaTVnJ5g%3D-71FXS9cWW7y27z9jx13jlg%3D%3D,Launch,7970917,US_this is amazon_2020Q2,,,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,5,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0.94 ,0.80 ,0.82 ,0.87 ,0.41 ,0.77 ,0.71 ,0.58 ,0.07 ,0.23 ,0.13 ,0.37 
14,Amazon Corporate,United States,Christine 30,2020-05-29,https://abx.ocucom.com/apps/MediaPlayer/1.3.5/www/?adkey=PTK-1.0-Rrt8NF%2FQCxly%2F2Pf8SBhMVeI%2BBvCm6JoJzIbtt0%3D-f6C6kbovlBLyD9xALPkA2w%3D%3D,Launch,7970918,US_this is amazon_2020Q2,,,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0.94 ,0.71 ,0.73 ,0.84 ,0.45 ,0.69 ,0.59 ,0.51 ,0.07 ,0.19 ,0.15 ,0.36 
