,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand.1,Clear.Brand,Message.Delivery,Clear,Understood,Reputation,Relevant,See.Again,Like,Dislike,Purchase,Recommend,Branding.Correct.Recall
People,1.0,0.5264911988401519,0.5734300786825227,0.06202565118795513,0.07531408644553626,0.2359822156690083,0.14023527122412596,0.16862598605068357,0.26585088250619604,0.356851155401915,0.07217269937446767,0.16428801936338155,0.10784844998962334,0.06892269134266554,0.062171243998323564,0.011800771436301994,0.014248070704379397,0.06973352811979548,0.10057728110107274,0.05686713993115305,0.08861515517800152,0.0656288402554655,0.03321698626514612,0.14244891395915268,0.14133689666799334,0.06272811169021035,0.8184569596941523,0.0633190514391551,0.14325517377185926,0.24410809291328467,0.1290204124542524,0.10226826253254807,0.0570119400066301,0.017103862898952115,0.1324476074728868,0.029466078806069544,0.20819138611089102,0.11746150380698467,0.18821927977143316,0.09484633816499759,0.06531264651336668,0.027357698914014045,0.17730932432116467,0.05567491676038056,0.14670360452798797,0.007683868515118023,0.07401511397119123,0.006783786576947607,0.13455038813842402,0.009248614809667969,0.13801311186847084,0.08680480694385849,0.24079247936567322,0.07424772541546974,0.05979216242553913,0.01860402751602268,0.26538641875343894,0.13654401091696866,0.08205722102814113,0.0985513181094073,0.0534918810709593,0.09777030590587035,0.18157002887442056,0.25147511445532517,0.24935274769805385,0.30980989584518837,0.08129047310363581,0.21213737017281284,0.3005714234450183,0.2786354021180683,0.1608118523440506,0.10974517613353652,0.3183635419517373,0.18091738801345278
Female,0.5264911988401519,1.0,0.17709823717056863,0.11780947397524616,0.09307360608893726,0.28400730987318334,0.2370474543622046,0.21454830049702817,0.3205168850103699,0.3024552586299818,0.08805642993501758,0.1781246826661637,0.13451408554571956,0.07983495066888234,0.15159250633318477,0.10791923827581539,0.07868117529492422,0.17838324704353545,0.04998358849274714,0.08261158740630849,0.1683126999524752,0.15244391247433847,0.12009474208129187,0.21250450419410097,0.16632537036678793,0.14716151599262406,0.43091038590844016,0.16827933244467547,0.24891325627378774,0.20096637589483973,0.1831922035013138,0.024115445873098735,0.024772933654146095,0.032486512474722444,0.005914725059991266,0.01793810807928395,0.1529944638225804,0.09103607845249542,0.1814348577831413,0.15715513536744455,0.15706929028775615,0.1683126999524751,0.05036597526840699,0.17490234417375738,0.016866509735321777,0.05698799357924758,0.08462077401423915,0.05501647882406578,0.10684452991686512,0.017566513609424905,0.11411031417383938,0.00930059501114762,0.13021864367424743,0.022351792137553457,0.027706022162871144,0.06290856644058015,0.2512521217154008,0.02706231506959198,0.04200395391006636,0.1173298033301209,0.031366663003796987,0.10979980934385773,0.013334900561701262,0.11585253276160543,0.12580780983561296,0.13737774129799205,0.04273218343073501,0.05690106318542375,0.23367144085773614,0.22738456910535965,0.0924196150288413,0.06353688433537631,0.1596628679222783,0.07346891048532919
Male,0.5734300786825227,0.17709823717056863,1.0,0.10816602318884523,0.13133961618925413,0.26383641129367713,0.1522870814007581,0.1553807478421033,0.24589923066718647,0.20385186488542262,0.12586137710161127,0.05075152180930995,0.04048112544685567,0.06660084630359937,0.18603339505764455,0.10656213704994198,0.25951408627588923,0.10131052531522826,0.061309231987063756,0.10583323252969629,0.04385659752481789,0.05322578566860958,0.0168408826945413,0.09611313600009376,0.1828495504726603,0.14614014768761138,0.46932783879567647,0.07263611795430475,0.17380941849821116,0.14317050546827403,0.03466350143572071,0.053382111701348725,0.10660899264151487,0.020074236857838667,0.08018220243415153,0.12247227576271702,0.13411111765147102,0.13555103576999397,0.22266619318614544,0.12016441484912321,0.07231630940582802,0.08455235919199108,0.11963415324775031,0.11976761931743302,0.11224989544828984,0.04156683551715012,0.020808673480137097,0.036697731132779104,0.059086433015525554,0.095235444442354,0.11641911457626311,0.08664968876316134,0.10117024416464353,0.032400223578048754,0.0662038479350842,0.010954917878440608,0.09201666537819125,0.06547011903008752,0.1082544969471477,0.08634654434340669,0.04722337417563971,0.051034262846512496,0.07101980749929565,0.11145851067527397,0.09465514264116066,0.12909066421758594,0.031220004585103926,0.06642644334257596,0.09518927598096681,0.09640260958387672,0.09932971933006642,0.014191122070169964,0.14523598323988313,0.18656129959280676
Female.Celebrity,0.06202565118795513,0.11780947397524616,0.10816602318884523,1.0,0.3352082627987553,0.02826240460541533,0.04267004445757604,0.039808412509633205,0.10045288717558686,0.1658061070184368,0.05315913428573979,0.010218377137235833,0.07943627279008875,0.05486757445146235,0.08477292263197465,0.009729219016986063,0.07721865863836967,0.021674881423673766,0.07104190716704696,0.022186061453994373,0.09033626847055967,0.059430042486432945,0.0097292190169861,0.04488304502769026,0.08100052996077704,0.06244745750432378,0.05076532589434372,0.00939989470285807,0.05329582389874178,0.017142546596669795,0.031055744869537837,0.012639763810509519,0.020745722532479288,0.002986175770163232,0.18773552400044902,0.015334579138978892,0.10320316459775986,0.11833908750696938,0.03459531431518041,0.1768273694472115,0.08651681187484321,0.07008848415819287,0.1305979998447593,0.06179348769337754,0.033449928638151924,0.003593389689509671,0.04494731191985218,0.22101492396857658,0.07988020185187229,0.0538240778615712,0.020806413872509023,0.015155313905453818,0.12902942542030374,0.11604712236698006,0.05134476578058364,0.114605923784495,0.015460051943808326,0.1305979998447594,0.16345846370947967,0.059847463545084,0.018098590570636296,0.0064773750187904775,0.1478642751247583,0.1068747376865818,0.09217529862517092,0.13198686433795867,0.07185830843179354,0.12425754563540205,0.11247984893439551,0.06511105826264903,0.044113943321160774,0.06089337480785075,0.02579491402034242,0.058109915136531534
Male.Celebrity,0.07531408644553626,0.09307360608893726,0.13133961618925413,0.3352082627987553,1.0,0.12948207451454832,0.023500804817720714,0.05889678166177059,0.11752051063556555,0.11522716722854306,0.06454799842139435,0.007233564300113651,0.035317287355376904,0.06164133821435623,0.10293475523534915,0.06687255183262379,0.06883306510668027,0.017445178729783913,0.15892223696309815,0.07610152316164948,0.01767551023065206,0.040576686312510504,0.01731950982715439,0.026459972296423516,0.07369379483259526,0.059589036674424736,0.06164133821435621,0.01641146827961216,0.02484651347773793,0.12126999103571329,0.007831901955863172,0.07667477904415503,0.0433343727511558,0.025102640379037512,0.036240413559565574,0.042414502394725044,0.14404687941148472,0.0476496974673567,0.12460597047373957,0.032601233735531816,0.04764969746735667,0.017675510230652017,0.11370525311926302,0.08171179936517682,0.03293935153316108,0.03201947595312286,0.037311685255499126,0.02826874129148861,0.03953665859698389,0.07182809843345797,0.07196075610839639,0.07692991945441653,0.05285242334460496,0.20051345906631546,0.08417756227843147,0.13915920729183998,0.14994074940396968,0.0688330651066803,0.04452141491800844,0.017293882059146146,0.07172403147602348,0.11050279242239495,0.0982553233078973,0.0833810337120284,0.09379293282708213,0.11386417447090674,0.09376553828817757,0.11792063021509745,0.09955927191834063,0.08780699713642147,0.057531305395612,0.12811968858770695,0.07780449632655137,0.00334254055028631
Child,0.2359822156690083,0.28400730987318334,0.26383641129367713,0.02826240460541533,0.12948207451454832,1.0,0.3664370103938545,0.07535795626089678,0.1509698844453311,0.2763571990558617,0.03288597527182956,0.02088564414453337,0.03184393220223177,0.016701796417639643,0.004214193463255888,0.03154565787207015,0.02878221578422636,0.007895494367939602,0.045533044615272016,0.01128764710614018,0.034795616421116914,0.18991122743877814,0.04229985941936679,0.023123405356700884,0.7257166223797644,0.011746226898028294,0.19314128677834613,0.001207747721217006,0.23168640355466838,0.18369385456126427,0.09259270271490866,0.11012632177150351,0.08105096509320088,0.024315688864834883,0.028754094290628092,0.034702123263662656,0.21222388052314142,0.015502959831441277,0.23282648501842063,0.05976528641603909,0.09855453035701929,0.06568892072023924,0.14953767749549243,0.010437387347947422,0.09757591078341724,0.013804756281807442,0.08105846729188666,0.006005522820190118,0.007793490020780434,0.03315165524427992,0.09904639734838783,0.09833532383270706,0.13244615789897957,0.08915588659995215,0.02155884991966213,0.007398152819367352,0.24628252332482423,0.028782215784226444,0.02100199984141781,0.05564385858991165,0.05987154485710072,0.011773848395946272,0.17632185536867573,0.2347004622195378,0.23205268794909117,0.23475507606481605,0.048785761121056107,0.1451085796901843,0.1723109304976633,0.18113266820690246,0.05332612388183214,0.062359044466297066,0.12457033115738525,0.1738899273440522
Teen,0.14023527122412596,0.2370474543622046,0.1522870814007581,0.04267004445757604,0.023500804817720714,0.3664370103938545,1.0,0.03295523293922679,0.12945871983332224,0.24109638309615752,0.1201887521020999,0.04433525821333545,0.027814875248046347,0.11477653372798287,0.0975877344327288,0.21678513940578484,0.016764534660019318,0.11621704584853337,0.1944437888558571,0.16911040836640265,0.07476284330073792,0.04556533877355356,0.001493010601968252,0.29530761546441936,0.2484908010458734,0.009980091616684254,0.11477653372798279,0.07306314168470772,0.3039361628942712,0.11434754225878899,0.3192067049144614,0.04081657371132716,0.04690449790308119,0.0736174904764088,0.038552568483928455,0.02580916749254829,0.3334922213110366,0.12504378932888657,0.3379464679240637,0.013730596244047096,0.41006753042709526,0.1584647222135207,0.2674213673993399,0.03441439469927239,0.13837383178998416,0.017623655696784427,0.036202996901052144,0.07536849484505685,0.08686084855152998,0.13374434107507074,0.15353175571800495,0.07603182684459818,0.17895229612546254,0.16448605601004532,0.08717595740893551,0.30620086602360735,0.19202627711353396,0.038936983726496344,0.0828991360178517,0.29444682656987564,0.11907952371288705,0.000993994436664909,0.12987845000699533,0.02964711792328996,0.019751807141959607,0.052608168169620245,0.05636520998189302,0.06658123242803675,0.09649492638623201,0.08462489787753746,0.05727242185535063,0.15533003868560497,0.016440289684147055,0.06856586196345389
Elderly,0.16862598605068357,0.21454830049702817,0.1553807478421033,0.039808412509633205,0.05889678166177059,0.07535795626089678,0.03295523293922679,1.0,0.07340487883949111,0.03878718336957916,0.0463208452246042,0.21838935105780027,0.02358940682745462,0.11050700216041906,0.19342836321551496,0.1831176924309017,0.028530815290669163,0.21786372291697478,0.033094567961884154,0.022078578962411822,0.07731770398165674,0.1255095189821228,0.06651480886828333,0.05375761530364057,0.05861778215115491,0.051620086656761086,0.1380131118684709,0.17691934204334997,0.0346048615634155,0.137497270818864,0.01753539413791798,0.06011753603781349,0.047698715516775944,0.02002269662551476,0.023766759277820994,0.07285289939067202,0.007788044175670983,0.18248963282967468,0.06368744683850722,0.20724851269230024,0.04242494028177053,0.11506046943241802,0.12899830161336726,0.21660005636099094,0.018887252101641595,0.10246352133719167,0.02908029163203551,0.02229182698790617,0.09238542478088303,0.06743083693110417,0.045873869237813114,0.11025796608195677,0.08632272916144709,0.03318864036528429,0.13347807594417097,0.12374357701809723,0.04451561096629452,0.0034139437099946603,0.08498079661408442,0.016060200946491385,0.06724344347048022,0.13661469835428758,0.005490302185554245,0.03476737752776888,0.05218171137967796,0.010633091052682276,0.060716064444569805,0.0013962745641353926,0.08130286032188519,0.07209460157152463,0.036034065295289984,0.03840206647517402,0.05996594962101674,0.14926268111548663
Multiple.Ethnicities,0.26585088250619604,0.3205168850103699,0.24589923066718647,0.10045288717558686,0.11752051063556555,0.1509698844453311,0.12945871983332224,0.07340487883949111,1.0,0.6454397492483488,0.0197952800198019,0.018539116870475575,0.047521661207645505,0.04419088593412574,0.06322713789620585,0.10075527216449183,0.09740536823297825,0.02838778850962661,0.13889246871441932,0.08455781447496481,0.03707179175019236,0.10534057735011171,0.07656461241404275,0.14161026143684682,0.0765796869562924,0.11705262871951101,0.2175875050280286,0.2993013908515776,0.26341068608575147,0.07099818573391627,0.03899822192552701,0.009252574695968085,0.01805901650196948,0.03278087813623842,0.08955178011390853,0.07734220912736248,0.06292875463729006,0.006529541208777426,0.08891303421733263,0.06403963415439871,0.02149307314555916,0.0699889861490699,0.09740536823297843,0.18007408192148708,0.04686800700743097,0.15336246710456541,0.04092545569454687,0.043396703794439107,0.06433630288420636,0.05052649010919505,0.06684380770624111,0.006219369590131746,0.21160951489059623,0.03755070269735438,0.08102299103079239,0.02362933446665655,0.04242243468855323,0.09740536823297843,0.013447142326631667,0.034729280323769755,0.05710276877972652,0.013447142326631654,0.14030298223684595,0.1760313453406618,0.18355057171096673,0.21591332896426915,0.02054760130355672,0.07699577738687816,0.20289659232945406,0.15217771235141972,0.11041732943962325,0.08350901875645296,0.17858004584700032,0.21712787609237066
Ethnic.Minority,0.356851155401915,0.3024552586299818,0.20385186488542262,0.1658061070184368,0.11522716722854306,0.2763571990558617,0.24109638309615752,0.03878718336957916,0.6454397492483488,1.0,0.009454717890650981,0.0485085928518196,0.03184393220223184,0.11562782135289028,0.09102657880632772,0.06691503184984554,0.051072202444191334,0.13094966268777597,0.04553304461527208,0.09903313027085246,0.03219407500645392,0.1179080749497199,0.08077600273302799,0.2738298002767208,0.2444744491910592,0.035943454307966465,0.29206731171359684,0.1670717681016966,0.2487907689177646,0.08854308097557341,0.20126593083128605,0.15434803129114852,0.15540784238113328,0.0243156888648352,0.1324830476198566,0.05040070283531949,0.185594255668226,0.04152578526278894,0.13644813025988953,0.05937970392303249,0.27213231275547717,0.10178530784868757,0.0287822157842266,0.1597500119088616,0.0770231115795482,0.048016543588894255,0.13642691383569364,0.0787783287589647,0.13623020556324303,0.024723268317768055,0.05436381207843841,0.1273004315953113,0.5133268249930867,0.11582304910975928,0.07604825081551163,0.01641465156797133,0.21024587867557346,0.16252213574401575,0.05377784807878206,0.14545499877011991,0.10030937515402791,0.04454969663331063,0.07853837320735702,0.21270059122923046,0.22566464267939743,0.24829500150886358,0.016721246750345718,0.1236404886515997,0.32233346547408886,0.33487174667964176,0.11095621256445795,0.028475075930084845,0.20837652921746488,0.23289295479846925
