,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand
Clear.Brand,0.0,0.0,0.0,0.03378708413363563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028507852237755066,0.05366164664466226,0.0,0.0,0.03847563274046658,0.0,0.04381339434827117,0.04320530372091983,0.0,0.0,0.0,0.0,0.0,0.0,0.050290178519011144,0.0,0.0,0.0,0.07271188932376095,0.0,0.0,0.0,0.0,0.0,0.0,0.01420474072854322,0.06759044416007282,0.0,0.046381823085236265,0.0,0.1613033543247658,0.0,0.0,0.019005234825170043,0.0,0.025340313100226722,0.04664921275269011,0.0,0.0,0.0,0.0427617783566326,0.05706679381643807,0.028507852237755066,0.050680626200453445,0.0,0.0,0.0,0.07605484474353304
Message.Delivery,0.0,0.0,0.0,0.04368987161463031,0.0,0.0,0.0,0.0,0.033607593549715604,0.0,0.0,0.0,0.05225391190076392,0.0,0.0,0.0,0.0,0.0,0.05995810878467525,0.0,0.0,0.0,0.0,0.03689197201025602,0.0,0.0,0.07063360654137532,0.0,0.058813288712002317,0.037808542743430054,0.0487217777917168,0.0,0.14938572992028742,0.0,0.037808542743430054,0.0,0.052511864921430645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038146381314952515,0.0,0.0,0.0,0.0,0.0,0.04861098352726721,0.11089428704946232,0.12026353687460428
Clear,0.0,0.026805759609151505,0.0,0.025254022469044103,0.0,0.0,0.02523753149596307,0.0297598637293437,0.0,0.0,0.0,0.0,0.0,0.0,0.02018316017630229,0.0,0.0,0.0,0.0,0.05718562049952316,0.0,0.0,0.0,0.0,0.06309382873990761,0.0,0.03444953083663507,0.0,0.046171553285967074,0.028592810249761607,0.025529294865858577,0.025018708968541407,0.07232813939710118,0.0,0.015317576919515144,0.0,0.061214472856614834,0.0,0.04051189649213369,0.045186851912569694,0.023547020205686064,0.0,0.0,0.015317576919515144,0.03938142395021662,0.03798759076039754,0.02352342169782684,0.02127441238821547,0.0,0.02042343589268686,0.0,0.0,0.015317576919515144,0.032932790376957566,0.0,0.0,0.054836925371864166,0.03277033122781121,0.020423435892686866,0.0,0.02042343589268686,0.0
Understood,0.0,0.0,0.0,0.0,0.029549863553732937,0.0,0.0,0.030509865141268366,0.0,0.10153351038849312,0.0,0.04038925004415528,0.0,0.0,0.022083330959394253,0.04894211907133485,0.0,0.04029239332942108,0.0,0.03632126802531948,0.027894733843445357,0.0,0.06118396558143382,0.022664471247799366,0.0,0.027566911116652746,0.041209179935601525,0.0,0.0,0.0,0.0,0.047933659092912535,0.018596489228963578,0.0,0.05114034537964982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05070715106210248,0.0,0.0,0.0,0.026151312978230028,0.0437118564756889,0.06224346725348261,0.058280068922912646,0.05645559687122857,0.0,0.0,0.0,0.0,0.0140401540265941,0.0,0.0,0.0,0.0,0.04059903647018261,0.0
Reputation,0.0,0.05900795336287976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08270149529509774,0.0,0.059519590914854176,0.0606526212499445,0.05407728607612797,0.0,0.0,0.07328645355578177,0.0,0.0,0.028249827572625445,0.0,0.0,0.0,0.027766924537195956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09316004391827347,0.0,0.0,0.08470361449852358,0.02511095784233373,0.03389979308715054,0.02511095784233373,0.0,0.06739337950332218,0.09057881221698953,0.04210810618830042,0.0,0.0,0.0,0.0,0.0,0.0,0.0785472685519528,0.014124913786312723,0.0,0.0
Relevant,0.0,0.0,0.0,0.0,0.09359188654463135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04930267705761142,0.022489412160163976,0.03027700795672561,0.0,0.037571014419027673,0.0,0.0,0.03027700795672561,0.0,0.0,0.0,0.0708550280190286,0.06236367615914054,0.0,0.0,0.03690010344725934,0.03725644810259418,0.0,0.0,0.058678369904961586,0.0,0.0,0.06137324641239166,0.0,0.05253601214269695,0.0,0.11088462654281327,0.022707755967544208,0.010596952784853977,0.03027700795672561,0.04469463079326162,0.06333455746049722,0.0,0.051324822243801436,0.0,0.0,0.0,0.0,0.0,0.0,0.022707755967544208,0.0
See.Again,0.0,0.0,0.0,0.0,0.0,0.018999509933275528,0.0,0.02711083917402008,0.0,0.0,0.05626708692748419,0.04800414900313114,0.0,0.0,0.0,0.0,0.05488747314057371,0.0,0.0,0.02026614392882723,0.0,0.0,0.03324914238323218,0.04401553134542165,0.0,0.0,0.06632753753667182,0.07536472273532625,0.03694349153692466,0.0,0.0,0.0,0.06994634397657737,0.03831567836543899,0.03611530777060239,0.0,0.0,0.0,0.028499264899913293,0.0,0.0,0.028499264899913293,0.0,0.0,0.03395042730329958,0.0,0.03166584988879255,0.03651853857304908,0.0,0.04269406470937004,0.0,0.05170314817976785,0.03419911787989596,0.0,0.0,0.0,0.03039921589324084,0.0,0.0,0.026599313906585747,0.02945883610866448,0.0
Like,0.0,0.04631456193247471,0.03613396163152825,0.0,0.0,0.0,0.0,0.0,0.0610933761795632,0.0,0.0,0.0,0.0,0.0,0.03647271752182385,0.0,0.0,0.0,0.0,0.0,0.07046162990775282,0.0,0.0,0.0,0.06378090326256486,0.027016827793943585,0.09409537327253374,0.03956035498398884,0.03705164954597978,0.05630863773559684,0.04132703141899373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02026262084545769,0.0,0.0,0.0,0.06564143203445767,0.032463276666157934,0.12169555777667092,0.0,0.0,0.027398294631565602,0.0,0.054414836667160495,0.027981714500870145,0.0,0.0,0.0,0.0,0.0,0.04052524169091538,0.0,0.0,0.0,0.0,0.0
Dislike,0.0,0.0,0.0,0.043781916400885044,0.0430716916973647,0.0,0.0,0.0,0.06161829562226283,0.0,0.08233871729479537,0.0,0.0,0.0,0.03213810842034133,0.0,0.0,0.0,0.020674412014735067,0.0,0.0,0.0,0.0,0.05971055782333762,0.0,0.0,0.0,0.0,0.0,0.04350976137392723,0.0,0.049935299279974324,0.07134122477717995,0.0,0.025843015018418816,0.0,0.0,0.0,0.0,0.08769137351738664,0.0,0.0,0.0,0.0,0.0,0.038631463525817124,0.0,0.07383718576691091,0.0,0.0,0.0,0.06399222766465612,0.06239292019966433,0.0,0.0,0.0,0.0,0.0,0.04760555398129789,0.0,0.0918862756210447,0.0
Purchase,0.04587407606846416,0.03088008112312473,0.0,0.0,0.0,0.05604162870493008,0.0,0.0,0.031139577603151,0.0,0.0,0.0,0.0,0.0,0.03293875319799971,0.0,0.0,0.0,0.0,0.014953232065224432,0.0,0.0,0.03851686068473931,0.0,0.0,0.0,0.0,0.0,0.0,0.10979584399333239,0.0,0.0,0.07058304256714225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04956713292473371,0.04674420541797544,0.0,0.0,0.09168747334417005,0.06836132555882186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05489792199666619,0.10395628402622516,0.02195916879866648,0.0,0.09445910255549043,0.03764428936914253,0.0,0.0
