,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand
Clear.Brand,0.0,0.033534432816949615,0.0,0.06623107309589701,0.03603739399439303,0.0,0.0,0.0,0.0,0.0589297951087871,0.0,0.0,0.0,0.0,0.0,0.06993710724703651,0.0,0.0,0.0,0.0,0.06570909330955692,0.0,0.0,0.0,0.03692661228514933,0.04753995178952918,0.0,0.024786809920352273,0.0,0.0,0.0,0.043144684163251894,0.07292576917383312,0.0,0.0,0.0,0.0,0.0,0.0,0.04208474924281021,0.06241633567661561,0.0,0.08666622131754949,0.0,0.10673545183942083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041782928558786105,0.0,0.0,0.07228186850884537,0.0,0.032329721951236394,0.0,0.0,0.0,0.0
Message.Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225060379633067,0.0,0.0,0.0,0.0,0.0,0.2889897223734642,0.0,0.0,0.0,0.0,0.0,0.18163114593684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10976122537906544,0.19455752667756349
Clear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3252654344822669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3421409540443812,0.0,0.0,0.0,0.0,0.0,0.3325936114733519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Understood,0.0,0.0,0.0,0.0,0.10080068612272938,0.0,0.0,0.0,0.0,0.12323331893267947,0.0,0.0,0.0,0.0,0.0,0.0,0.053699876508771165,0.0,0.02732165758341337,0.08655346559177929,0.0,0.03414776283684606,0.0,0.054857999123627606,0.0404707499187524,0.010890209542848885,0.07841176776395678,0.0,0.0,0.0,0.0,0.0,0.02194924041727435,0.038640230202103505,0.0,0.0,0.031008001208221846,0.03881278027863736,0.11894165231195415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032823078407278175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08712312999265295,0.0,0.020314393256473093
Reputation,0.09092175062916795,0.05897974250706559,0.038234396904443683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11391444878240163,0.0,0.0,0.0,0.09858794881021128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12725588529606574,0.0,0.02820904554364368,0.0,0.0,0.058382714966499376,0.0,0.08438949556902221,0.0,0.058802749673596375,0.0,0.048188890660290196,0.0,0.04895782591442638,0.0798137563820272,0.0,0.0,0.06536134836113872
Relevant,0.0,0.07847224428839263,0.0,0.0,0.33883123811562604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2565168601335559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09688919958056638,0.0,0.0,0.0,0.22929045788185912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
See.Again,0.0,0.03959524857017159,0.0,0.0,0.0,0.0,0.0,0.045199499137026644,0.0,0.0,0.09380912670010517,0.0,0.0,0.0,0.0,0.0,0.09150901891772983,0.0,0.0,0.0,0.0,0.0,0.043812673513661124,0.0,0.0,0.045232641048591454,0.11058202427473408,0.0,0.06159260888693359,0.023757149142102953,0.0,0.0,0.0,0.0,0.060211851500896856,0.0,0.0,0.09784425868895734,0.0,0.0,0.0,0.0,0.0,0.0,0.0566025381858229,0.0,0.0,0.023757149142102953,0.0,0.07118002982499273,0.0,0.08620007615892793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049114106307242965,0.0
Like,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24346720531323882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3749856203107224,0.0,0.0,0.0,0.1646950532558824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21685212112015645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dislike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4175792819120147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3028209896586672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279599728429318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purchase,0.0,0.02861658357203004,0.05031329251934584,0.0,0.0,0.07861451956147786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011320490816852815,0.0,0.0,0.0,0.04117514076551962,0.0,0.0,0.0423602936083999,0.0,0.02458163720230895,0.006037595102321517,0.0,0.0,0.010263911673946562,0.09811092041272437,0.034246862975353044,0.0,0.0,0.0,0.0,0.0,0.01886748469475467,0.0,0.0,0.0,0.0,0.05140860991252406,0.04366475029357512,0.0,0.10083657447737475,0.07518281009019118,0.0,0.0,0.0,0.0,0.03018797551160749,0.0,0.0,0.0,0.0,0.07269955134258603,0.07762622274413354,0.0,0.10388477272297236,0.0,0.0,0.0
