,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand
Clear.Brand,0.0,0.0,0.0,0.08716374603191619,0.028973996715129364,0.0,0.0,0.030622876504795914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16553713624981636,0.02366350250345823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2206237273762452,0.0,0.027318647114391657,0.0,0.0,0.0,0.03430130993860188,0.0,0.0,0.0,0.26422329703136155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11757176053428371,0.0,0.0,0.0,0.0,0.0,0.0
Message.Delivery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12320796174043144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04823519173191184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33138433081284124,0.0,0.0,0.013973258502879627,0.0,0.0,0.0,0.0,0.03479446686211079,0.0,0.14258427043755084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021824123026152986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054092713559544064,0.0,0.0,0.0,0.14719863886977755,0.05649661326049881,0.0458501419198384
Clear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1208050835580792,0.0,0.0,0.0,0.0,0.002382504226151785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050870471663070224,0.0,0.0,0.30704204206386065,0.0,0.016959900454311085,0.0,0.0,0.0,0.0,0.0,0.036604487510691015,0.0,0.12447849240832899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11635297645184525,0.0,0.002669287142262548,0.0,0.0,0.0,0.0,0.0,0.0,0.0005956260565380381,0.0,0.0,0.0,0.17192618175470334,0.049312946710157915,0.0
Understood,0.0,0.0,0.0,0.0,0.0,0.03543626733127424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054842614001104684,0.0,0.0,0.0,0.0,0.0,0.0,0.1077088869221053,0.37937650907541254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12955302039411148,0.0,0.007356637802611339,0.0,0.0022925810326688847,0.025412836195090743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02837560295293264,0.06990152479400916,0.1597435194986792,0.0
Reputation,0.0,0.0,0.1277214390255101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09405211653044353,0.0,0.0,0.027475851297321687,0.09849531958431854,0.15451271426375315,0.0,0.0,0.09181618425044079,0.0,0.0,0.015926399010724478,0.09693662150689622,0.0,0.0,0.0,0.02013587387932324,0.0,0.0,0.0,0.0,0.0,0.18777615448524107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07413933517470435,0.0,0.0,0.0,0.0,0.01101199099132299,0.0,0.0,0.0
Relevant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08196703400007914,0.1004926366828391,0.0,0.0,0.0,0.0,0.079526627299425,0.0,0.0,0.0,0.010319300922150474,0.0,0.0,0.0,0.0,0.0,0.0,0.29360916893149297,0.0,0.0,0.0,0.0,0.001715119266839284,0.00010719495417744409,0.0,0.02927136882077422,0.0,0.0,0.0,0.0,0.1073856981400558,0.0,0.0,0.0,0.0,0.012899126152686605,0.12701428701978562,0.06391858263974953,0.0,0.0,0.09002300425171354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017508509182313488,0.0,0.0,0.0
See.Again,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11774842293543097,0.0926748112485612,0.0,0.0,0.037930200535144065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011863686227245628,0.0,0.0,0.0,0.3550195600682813,0.0,0.0,0.04286838889214139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017389376093064724,0.0,0.0,0.0,0.07666000483054819,0.0,0.0,0.15995420490473328,0.0,0.08845795311678283,0.0,0.0,0.0,0.0,0.0,0.010110708752587554,0.0,0.0
Like,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08580827897709216,0.1410402365603892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2985576885271259,0.0,0.005460303969330608,0.0,0.0,0.0,0.0,0.06735647693635678,0.05242553665584015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011733153172171076,0.0,0.0,0.004208074259030919,0.0,0.0,0.0,0.1683037178188633,0.0,0.0,0.0,0.0,0.031453300971926106,0.0,0.011538402330619903,0.0,0.12211482982125388,0.0
Dislike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08315531706579156,0.0,0.0,0.0,0.03468114404694324,0.0,0.0,0.0,0.02624970746837958,0.0,0.0,0.0,0.0,0.2059637125220931,0.0,0.0,0.0,0.0,0.07635304169828254,0.0,0.03157455379509915,0.0,0.27205961551115065,0.0,0.0,0.0,0.07854855944411329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09126008666744868,0.0,0.10015426178069825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purchase,0.0,0.0,0.03275679136346606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027744233452780428,0.018351233132943272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0701132818994193,0.0,0.0,0.0,0.0,0.13501252575642025,0.05176766591772225,0.0,0.19581697149624971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09831511530215062,0.0,0.09278961936464594,0.0,0.04708788758498518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05435604921361137,0.0,0.0,0.0,0.05126212230524689,0.0,0.12462650321035874,0.0,0.0,0.0
