,recall,f1_score,acc_validation,acc_test,mcc
Clear.Brand,0.7087108013937282,0.7087108013937282,0.7087108013937282,0.6129032258064516,0.07323510707695954
Message.Delivery,0.5435540069686411,0.5435540069686411,0.5435540069686411,0.6451612903225806,0.2187669186309637
Clear,0.5139372822299652,0.5139372822299652,0.5139372822299652,0.5161290322580645,0.08799240443156028
Understood,0.5729384436701509,0.5729384436701509,0.5729384436701509,0.6612903225806451,0.2674746910277647
Reputation,0.5141695702671313,0.5141695702671313,0.5141695702671313,0.4838709677419355,0.03225226779318619
Relevant,0.6166085946573752,0.6166085946573752,0.6166085946573752,0.6290322580645161,0.21329620962461715
See.Again,0.553774680603949,0.553774680603949,0.553774680603949,0.43548387096774194,-0.018801871387969248
Like,0.5247386759581881,0.5247386759581881,0.5247386759581881,0.5483870967741935,0.16724477049176886
Dislike,0.737746806039489,0.737746806039489,0.737746806039489,0.6774193548387096,0.13636083049863
Purchase,0.8543554006968641,0.8543554006968641,0.8543554006968641,0.8709677419354839,0.0
Recommend,0.6112659698025552,0.6112659698025552,0.6112659698025552,0.6774193548387096,0.19122794492800416
Branding.Correct.Recall,0.7623693379790939,0.7623693379790939,0.7623693379790939,0.7419354838709677,-0.10983289636425039
