,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand
Clear.Brand,0.012599666480681147,0.01585269328806841,0.0031964738908049294,0.005730319978941956,0.002902646718798547,0.01648208777033429,0.008943387208844656,0.0247257004815029,0.020876447011636177,0.017978109575470472,0.0013706926892814407,0.006162685897701677,0.0,0.004309970949597857,0.001235632169609231,0.03432293490447822,0.007431419236359964,0.013233369778079403,0.0705068676672769,0.01022041961847457,0.00718613836110367,0.007171510540473039,0.012861930442146093,0.010699213339372293,0.03157167913989467,0.012518318830974913,0.011972026879523033,0.016112865939227793,0.030930516154827368,0.0090939255728301,0.0,0.013862352768719959,0.06819809685604589,0.025385226077698306,0.009659009094350968,0.023942286144112788,0.0,0.010819766117082267,0.016651061001574576,0.0,0.03516339576099251,0.013096452317315122,0.031943346180993024,0.0,0.01930372234009155,0.013903282180147587,0.041338824347231344,0.008887928507017567,0.023658967652567826,0.009442548719828444,0.012045133440651886,0.01524538768395322,0.0166583473666484,0.013730110226999383,0.0540724371367766,0.03726460009244858,0.0021238019428913954,0.007944362269811264,0.017432371231356023,0.013270657358454079,0.002009662213608128,0.01474721245431564
Message.Delivery,0.010944284536167564,0.0031651522870527107,0.010563275017304299,0.004331470040861599,0.009088886734712285,0.021299481784494378,0.012198707777643349,0.03160233222217476,0.02481229186795041,0.010192652927682623,0.0,0.025223707653043975,0.01826147014044522,0.0,0.015418505448942393,0.00958463875601882,0.02509578211804676,0.03785997766920087,0.027315316689739987,0.010557127131802194,0.020058362849246437,0.015089699532577218,0.020587987804774943,0.009289146653734162,0.03280938567922672,0.008257789090265146,0.03216867659265805,0.014912886899214314,0.015087234086274782,0.006038584680616261,0.02188051060725986,0.010875303468900904,0.02908190985217716,0.008932183824564451,0.02028717978598729,0.0,0.016353496395706983,0.007784338586680313,0.03788870558161848,0.0,0.01717043103925661,0.01644385399741551,0.0120021314216072,0.02477731255898517,0.043859016885983454,0.0,0.04341687647525846,0.002593265463595925,0.024776071061648707,0.003683431146981978,0.014853962964251424,0.011494497691339015,0.01764974073624043,0.0,0.01181278971846696,0.017875740985893222,0.031256968121520706,0.020804619808282798,0.0,0.003409773440686102,0.0380252755662212,0.009195798141597634
Clear,0.02857823739359786,0.029196762939569937,0.021668461466594253,0.015734428273237268,0.006223071547239447,0.042139072976203625,0.029226217726266494,0.007069338734876455,0.028122030266265502,0.006494637026967013,0.0,0.010757498667906035,0.0020384248262367913,0.02801463277170411,0.02472274506460684,0.025024380367679597,0.0054685211995165505,0.0036656819451542093,0.024896392217425987,0.004539949929890423,0.0,0.011476454679657348,0.00503020773359347,0.022968446269829534,0.016798190193795103,0.004721382612568793,0.03441328959686824,0.007304532770732633,0.01597066021619668,0.007426506060176798,0.008590753234498824,0.02353074722847411,0.08371657819380343,0.0046264628256877105,0.021321350641839463,0.0017647296785970883,0.036457499870296596,0.008512731078801641,0.015874417653001564,0.014371836290935082,0.012313233749834245,0.004749784476236373,0.012165492030437305,0.012753672777362743,0.007231507719006431,0.01956306725274065,0.026544709113253576,0.0033246122207919587,0.0,0.01586927203540851,0.011368983938831212,0.03016909470019468,0.014852678837347498,0.01739398521473901,0.0033039857996559788,0.006424167342096384,0.02661237223047106,0.032340208237194586,0.015759793976165375,0.01041839838586773,0.020970768483741853,0.007412949308330116
Understood,0.025283623289489538,0.006465387050696015,0.00796416671130071,0.0,0.030212068362848465,0.02231928939510375,0.008592854620571388,0.011483661484485845,0.03731133406076139,0.030881398572972552,0.017848425771144705,0.0069864536322650625,0.019587553003930707,0.006719955441845656,0.0,0.0432502633642286,0.023846912893269914,0.0571136159308825,0.021065759110323257,0.0,0.0037267796529924513,0.011495096942174439,0.00518395645650562,0.046358607689201026,0.0,0.019632137678151754,0.011505781636541004,0.01959689676171403,0.003826504066010617,0.013183163808260763,0.010988346867581027,0.010740848848410341,0.06996448548121952,0.013254988255214177,0.02568866099489201,0.037872425843276866,0.009681784859451835,0.013282221183176192,0.011721202395238285,0.009705918176129402,0.009067205587242496,0.0,0.03099072362680669,0.007653022339202128,0.020484167279544264,0.0,0.025780503177897655,0.025121508610448203,0.007938288926059365,0.0,0.013468304622293238,0.005238812154366058,0.01718683658028094,0.021433158780970712,0.009596595266506412,0.0,0.01560466365501524,0.012900679103708464,0.010478655608118228,0.004200536800366993,0.011743568383576678,0.02677023920533461
Reputation,0.04302694416555873,0.0,0.024087986444825692,0.0019948027194325495,0.014458898134308633,0.0,0.017141625249135387,0.0,0.012469595319801479,0.015523472384014051,0.02292651201616175,0.01796013258023691,0.024146157501363195,0.008066113274977894,0.019405778165055187,0.01496230873440738,0.007323995177077963,0.0026969599375787465,0.009258639495368629,0.01370160330102486,0.018900147809855793,0.014178317945696458,0.010139736183753722,0.00396843871165304,0.025798140766037005,0.020037018071907615,0.02017411499790523,0.009669543888665599,0.0,0.005385754806454341,0.006096056768323958,0.01450700358180947,0.036324301117250164,0.02173203778256055,0.016145911359747148,0.00613659936736806,0.005857522791927611,0.012939789843706749,0.015719943137217533,0.014718652309147668,0.012654433344991056,0.004247227688485913,0.018174638490614074,0.017102591000808263,0.011266035739935176,0.02166394768476906,0.08364578027733423,0.011420123435942429,0.008866563919458973,0.008220808290337951,0.021455628898979104,0.06817218473477885,0.022577893690102116,0.014638752720602137,0.02283296717800341,0.0020280329657784203,0.01481973514125623,0.007206247387255343,0.013991728389218895,0.0,0.0486732751694281,0.018760848010603518
Relevant,0.02436285275528515,0.0,0.006016061437924868,0.02614019670532247,0.01791871372797844,0.01870853044828677,0.010653439442581123,0.01182001643677134,0.02106029889232932,0.010768646253623552,0.0,0.01704688188130299,0.02979432237607008,0.007974150978386678,0.008512799385719952,0.005635666631943,0.014241060845998603,0.02461000006566735,0.008123974494268304,0.02830995713681059,0.0014273186912425611,0.0006358057053138564,0.02707909983038139,0.01840963077888054,0.0,0.0024022075605618066,0.041176871260689966,0.014194472202018051,0.005044093986861734,0.011931238774394096,0.0053061433941187655,0.034505008094870594,0.07010627332079045,0.005272336388932402,0.03668507438870301,0.005193242699076206,0.0006617769221022593,0.0,0.002622118106922275,0.04781092413603271,0.003929333171470416,0.01618723313551178,0.02041044137634168,0.0033732464841726663,0.030790792539222296,0.01485131312345103,0.02169468437130366,0.01575369836667779,0.003578671682058259,0.0,0.018001035728494937,0.010263303952123824,0.023925057402423195,0.011877697935204268,0.0171681139358422,0.03870944828731616,0.03018280444492744,0.01678941686027569,0.024069362335445738,0.0224009025498138,0.0338822361797601,0.0
See.Again,0.031883106870676574,0.0016760499695605566,0.021307880990949338,0.0,0.004075899567472734,0.0194983355544743,0.008991537521191565,0.007306640290000369,0.017445416410490088,0.015411140172770588,0.007204211936422136,0.019740429272276105,0.008879723127282779,0.027171125317414037,0.010008264106813292,0.0040728198734452945,0.024356630760892874,0.0240401108113233,0.048368358279278226,0.006588528285218072,0.025068851482239734,0.02966494415626111,0.03522628631479179,0.0025511798761629753,0.013923119564600754,0.031084473656208207,0.02083437446782444,0.0038110955372440965,0.009851987832863613,0.005573485671970704,0.007634936211645588,0.010288513076207565,0.05684697658711548,0.013988780779813378,0.05348961991493527,0.0,0.019004952998368383,0.028319696026714067,0.012800579220837072,0.02424606471128751,0.0,0.00883959182766947,0.007211885050747777,0.0,0.010612024848490763,0.02204824176506909,0.00046934601079988967,0.00992709726227318,0.01953182071696857,0.017882231972191846,0.0,0.02652544402842996,0.013811731766618884,0.0253672040860947,0.0066129567551207,0.0,0.025693729277004106,0.003615353154205084,0.006484841116402133,0.03778703514855948,0.035566905240789766,0.009776432767520592
Like,0.004759190437007415,0.03481717917568718,0.010486349202010557,0.0,0.012202251431886609,0.02805406630158145,0.001625852045093946,0.003860758995844491,0.0274524218387379,0.034945275616611794,0.03871520281195404,0.014806841561710596,0.0,0.013793064802049277,0.030325462743590322,0.007905566631223668,0.024732452401201543,0.02315893233704758,0.04062460048589595,0.011835070774266838,0.013033717830562754,0.003795278451026729,0.019925429679309985,0.015342006937665954,0.012373103557139161,0.007149130777918931,0.06143708414699556,0.01925205239185583,0.011970444370149404,0.006678576368018521,0.024202700290526895,0.010620143269949207,0.06259379380866964,0.004172063520274935,0.02962887440119736,0.002564662333620029,0.01672882080792923,0.012101005852737282,0.025446782821103672,0.0,0.024309314587846065,0.01901847204690334,0.0,0.012583732060409884,0.007841314101611334,0.0,0.011016333222439,0.023060497792443044,0.011141683986978715,0.004956066859309614,0.015952443241573903,0.028047005342033263,0.014484807547816685,0.009831976228789657,0.0023027674196068114,0.0014430700732259896,0.010534052802714383,0.011185871636078147,0.009997222973101693,0.021778271444726854,0.01563178965783682,0.021767095764502344
Dislike,0.06932544101903423,0.01243682458102898,0.008633380760112159,0.011088853619873799,0.0,0.014946813821369158,0.002063569976058581,0.0040351482097655865,0.036915008290275164,0.025196598330800023,0.04090334215271188,0.004859157645346852,0.007821203318501996,0.02028744944678412,0.027607863128554073,0.002850812052813124,0.02208223558259562,0.0004924462039739461,0.014528857650277683,0.012335062718910684,0.009227876016574271,0.030592501997422732,0.006331037931206511,0.025915851995780944,0.0,0.02232615860044508,0.00908540323750178,0.030961797379326486,0.0,0.009575710154732941,0.0,0.0064097005246101565,0.04011371488487582,0.006962837514395502,0.026470112500464996,0.0,0.010707973182722963,0.017733714438648004,0.026479692381813344,0.021183794614014862,0.00480999079956616,0.027172228098811518,0.00024237586601842505,0.0,0.028345189518171887,0.008743583375579454,0.06266869856740916,0.005787483611014873,0.020166882844085455,0.0,0.02677500141149091,0.006628052056744216,0.016684180655098947,0.01556889223423102,0.02262562247666171,0.0175178300381201,0.014968180901485172,0.022486923344567603,0.0040858491817612344,0.020767354032763075,0.023012476415565815,0.012455258707529176
Purchase,0.022930285119893857,0.024364460231168453,0.01677426162801388,0.0,0.026237417081886753,0.0025576863926826516,0.006264141546235293,0.01151600997269981,0.011596584253838282,0.006981908701826786,0.034324003079331894,0.005325771504424528,0.0,0.0,0.0043530269879345496,0.009357614951843896,0.009580899169618075,0.027428206133858782,0.022213524525149013,0.02100907265853218,0.002268318398005985,0.005204298273053854,0.019471706030778448,0.028487307466323344,0.010947948941131092,0.0005850388442890446,0.00954035617974041,0.0,0.010392277508710794,0.02524414932096808,0.0034011920852309325,0.0035571503447422085,0.050978436700127035,0.0038807293298756458,0.0453865235092339,0.016265982025501887,0.004479525364124896,0.014373469812402154,0.028463129642970944,0.01162056799742221,0.02503095177877246,0.028550536935779063,0.040773202548243306,0.0,0.024915521703526837,0.0336956288772594,0.028903882406272542,0.005354953961518235,0.03060056046632525,0.011624237088983228,0.011742996705471074,0.007789292607067662,0.016806041618439925,0.010305636958310065,0.015979742531074977,0.0,0.004920429763020101,0.025656293332310263,0.0875991130022864,0.008364497448195302,0.01951767857473567,0.004505819978836692
