,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand
Clear.Brand,0.02706888388783142,0.0291448779521778,0.030361260909527746,0.029351412804998634,0.01372717776236443,0.012422523521404017,0.011331670901374439,0.0079810417324768,0.02114965310313688,0.023685897171278673,0.0016040853603529975,0.006678529143446994,0.0038219566070732984,0.0019019456350369795,0.0048641344970349245,0.024191643069901233,0.034867465952293585,0.02547720858482454,0.023416429115529627,0.017325950722434716,0.01517772158620566,0.012197958703837919,0.00633609565599867,0.013261281016214148,0.01918577621949375,0.028087549860987715,0.031379515543349355,0.02516200251395876,0.010782396777940653,0.013581093591287048,0.021411272978749833,0.019814556542428894,0.06811159579570712,0.0038360373104167275,0.022238032736643223,0.00486658872725308,0.012290100592279864,0.005696978979551349,0.018271984264441352,0.012593811698916024,0.009203273951532843,0.006137133850442229,0.020769908177644975,0.007277875415639152,0.03221144091892357,0.0051636361861435815,0.03062031278754571,0.015589723892759725,0.0028694049332607073,0.0053889619606258795,0.01418849098955354,0.009401972568159393,0.014256089226534189,0.008476123658196798,0.00733935857727806,0.01913972715578418,0.018464512959196076,0.009755292892014157,0.00733691733200567,0.01691890907198427,0.014608132549164987,0.01022670141544961
Message.Delivery,0.025032762039855834,0.023169366203212735,0.021671467364871626,0.0028363912268267993,0.0044500399449907725,0.017866091939786565,0.007960110328663395,0.009800992984745632,0.021582915676820587,0.01913899445253386,0.0016822142399030365,0.010105056100379145,0.004642257106377691,0.0063655186384167384,0.005369949128038291,0.015295300917862326,0.032236888477269666,0.011454950559582108,0.02279743160677277,0.020551674564715853,0.00900675448115607,0.010831319610600087,0.013483718963216719,0.007914899417666665,0.029947589790012538,0.02712361434998547,0.041778795325055365,0.028113149224098744,0.01475292327327342,0.018310388161642797,0.005678752671008158,0.0409625183228229,0.05329704693079623,0.006313292525368401,0.017225741450935243,0.007300077377051807,0.017678343835271258,0.010764992379446123,0.019034568249996324,0.020469689046080222,0.004501980795366281,0.006144987074456253,0.009322594664550007,0.006080736799042536,0.02333213415512324,0.008622942065659476,0.024213637474047256,0.01812809433570041,0.01061448518239789,0.015051447589318034,0.010118691915065784,0.018912055776065827,0.01337337013449542,0.01248486385536393,0.007874171189907532,0.013709038017852117,0.02943997710029116,0.014379835139973525,0.009993622699971873,0.028431943000310798,0.021523543970093373,0.009747298177837422
Clear,0.016992789405955906,0.031669484244234845,0.011250518268606062,0.0038537029371783424,0.07529446169035228,0.011542462636760646,0.004063725483098619,0.004850631918759881,0.020330603406796068,0.035156800282391015,0.0010845584270962382,0.009688495760869645,0.002462364953006198,0.005195661749839298,0.004293669783990067,0.015711201193221586,0.04096201371543443,0.011393961220664859,0.024423918859381704,0.020112762803133632,0.0032993186871322325,0.0052163345893654,0.02432845750351114,0.012910309131609256,0.01447070489624964,0.01057604491957389,0.029550672211157758,0.007686785874293324,0.01836247963590222,0.01838302312683586,0.006918303965456814,0.003213165531507823,0.03899568237533838,0.004050654670515984,0.017120520963813515,0.0018514980550400015,0.013522352730341209,0.005966956536384215,0.01390901234784944,0.012942934188566789,0.003179397243863222,0.00275899823573973,0.011986145436367956,0.0012337528446413832,0.012559931771450494,0.10216722744559704,0.07443805999939836,0.021236694119493544,0.006534226937726796,0.00859234679256581,0.008753620694735249,0.013045381167797214,0.018851494273014902,0.012242421945157433,0.009743454335385265,0.007325757747517997,0.018950802806377773,0.010415488613011234,0.004502779286695812,0.018847717297137544,0.01644198238122774,0.0025833179438814373
Understood,0.018337549912085825,0.033302022138636464,0.013619423192039659,0.0025236993228669813,0.02053848254503441,0.020036285265410278,0.005525585590556734,0.008071056461592174,0.02550984830031672,0.03938035617122489,0.004580727288160612,0.00866968401549425,0.015944635262237897,0.0035800313067925514,0.004072631099986208,0.013302233069180425,0.032657832735117354,0.024169183744349353,0.02060388586336193,0.024744409318764173,0.0034839691821548476,0.01011858817274833,0.018610272898151356,0.01060749862296416,0.011205309954351633,0.015865251518982614,0.021348343364210917,0.013123899094310554,0.013871075067276573,0.021639817503719648,0.004330997067386454,0.024289261937478903,0.029584967741535483,0.002288797181220777,0.027358111573200398,0.005753799392229141,0.019633784431638577,0.010839987499982605,0.012711949627646489,0.02364031313702681,0.008485893040462997,0.007110872510475643,0.014701952373149888,0.003044211089816683,0.020368909969720822,0.04759146059741663,0.04907261662624188,0.019953716586756924,0.01658806439690246,0.0055111870228135495,0.009552179781712989,0.013646592297138226,0.024655410564827177,0.01379911921923196,0.011970119199655136,0.011772834460601176,0.02601894055509153,0.012703443403731035,0.005979560119287185,0.01931135962821148,0.015093727329422723,0.00359227165590678
Reputation,0.006788903007533004,0.01627538957982559,0.021281192064565062,0.0025011336758376562,0.012116470841189825,0.020205863929499406,0.013342929416777935,0.016309175197534016,0.022759389900801556,0.016674292289694186,0.006324080253841524,0.014931376212860867,0.006200227566263978,0.005727654116602413,0.007268680085838258,0.01655141667889736,0.01412060036729107,0.01815117065089683,0.013779587121553324,0.020839398095200426,0.010786269751834872,0.010451737160588838,0.01686080807719005,0.02245651707863472,0.027430381788192473,0.016077280233839104,0.006167854532212651,0.016530705710432223,0.02328955687650175,0.01686681401103484,0.01267320181708589,0.00769805559818821,0.03826393733764527,0.005758133977120007,0.026912725754646302,0.0036189551556635316,0.026474071053459926,0.010056907932137161,0.020833304218854567,0.017031568738685672,0.011350542921548003,0.007377847994373126,0.018715681302483005,0.004775873664296595,0.016922369636042885,0.015504360054137448,0.03106577858311624,0.024576196312117642,0.014220223736166323,0.014994030509848466,0.02179090373407811,0.01929095217026363,0.015386807973660885,0.015585312721531094,0.01676578761197103,0.024956796616479412,0.020689165534224178,0.01424607617672687,0.012193067630584028,0.02794086415101495,0.02981501161149252,0.013448631497391325
Relevant,0.01940710342996146,0.02117935385184094,0.019345208397665504,0.0073614611397433945,0.008258478083851228,0.016724734979179177,0.013645325835102055,0.01579577070626842,0.019541498350076146,0.025419268245523603,0.008472184905581126,0.011662762278349274,0.013342695828981555,0.005653933821657582,0.008816082052637815,0.012413308426684913,0.010834748519555824,0.016457587231928292,0.008909344619710057,0.01911611198214636,0.010681180982126205,0.01660955563369686,0.019391202126201924,0.010439841493746958,0.01375638887401945,0.012327426993931322,0.029269160415833797,0.02079098977753261,0.018877968936808143,0.022293419473032733,0.008987990271976892,0.009276824707860017,0.034578397326649135,0.00843771680218567,0.03514920026478391,0.009649464505723853,0.02097573774249832,0.00800044070294243,0.019676625006656748,0.01659160101516372,0.010398064974250965,0.014926957298456769,0.01808518612796894,0.009858155431616106,0.020446042851089183,0.01596155383938612,0.02535219954934602,0.015781950877258057,0.008086200593362756,0.016885104927210324,0.011452761957155642,0.011616038628562144,0.02762471830263415,0.027339352510114608,0.018311348024557937,0.015148351368585769,0.021637435421183255,0.01827801132581305,0.00858835878997716,0.017882307584246325,0.024756357774823923,0.013465446102585425
See.Again,0.019037538623327358,0.02097594006659366,0.028801897777654243,0.0022572901748241837,0.0029599751668267795,0.01776874470423936,0.008654506156436884,0.01878342434015572,0.021199684038433277,0.03146947680811492,0.009841235052556784,0.014820166614435108,0.005870095943790608,0.007878214620535872,0.01074677465615593,0.0067704304595332596,0.013426092512420577,0.021346812835027006,0.017045249456397817,0.013897622662376437,0.006740739573395073,0.012360794320686222,0.022008611953739075,0.011118139571959102,0.011128808004093828,0.013329469225373385,0.027347262069621948,0.01753508817728748,0.02480267722808682,0.015952806571710342,0.01124045681185647,0.014102345575737227,0.03269619912176323,0.00515676195616255,0.024684587014635512,0.002495852056108072,0.010893938424639281,0.012216688102124057,0.02803058078682593,0.027671277155857092,0.005548801528214948,0.012226786250955149,0.011234974496983472,0.004200038529845237,0.024671667937603066,0.005309725343532461,0.02245716159199932,0.023734781752610144,0.014284968973485843,0.02733113354274089,0.012840032508895316,0.014359239782257444,0.02983384877367035,0.030907695371247965,0.01197610671916242,0.019131183209551497,0.01778221054947802,0.023721969388952976,0.013782714061447217,0.01804675464962371,0.018147245813263792,0.013406702852980268
Like,0.01876080099005762,0.018363195236778134,0.020771308781699756,0.004696222119331424,0.017839505471750852,0.022751310874009847,0.009918851413590779,0.016304109367636044,0.024498004065884142,0.02440022546568127,0.0053466433342899125,0.012882713879376059,0.010024133363010258,0.005078148613999887,0.009172561174095097,0.013846911627767024,0.014806788722186378,0.019482809358107374,0.018797958361161,0.015507419859983386,0.007472160283345499,0.015869004853380664,0.014646512794945419,0.014040699853667845,0.015272276156307225,0.015099131467097784,0.025281478069086847,0.02014262453545352,0.017266986279066476,0.024647524258393238,0.017901898207364757,0.01176242900229065,0.0339472180357036,0.007415094361526226,0.023878010268770265,0.011400289938161431,0.013482153463280858,0.010534127576007636,0.013487001733708157,0.02180263011478686,0.013612907621955925,0.008354639905750801,0.013682944576056205,0.009236020807995578,0.01672623949658548,0.009544664850899331,0.030084600764628707,0.02461546039260378,0.016746998089450023,0.022664409646288162,0.01135048900964702,0.017784522482906188,0.019500376872739072,0.020644571535490566,0.013218087298614106,0.01418781732265164,0.022750791200092213,0.014442210608065381,0.012450175891873165,0.013995354040864858,0.019716834946597307,0.016091009305503418
Dislike,0.010875308889976095,0.013956144899709288,0.013877857597080635,0.011699925935664095,0.008018898309300727,0.017812431170131256,0.011144088538858047,0.014171788935605696,0.020343275950776545,0.017528162073371448,0.020122314404344508,0.011735985852875387,0.010014604052318656,0.008048688737344156,0.013996050101682402,0.017345653466227833,0.01656501012171532,0.016527948541909917,0.012303585840534547,0.022244259110378722,0.009578359658583018,0.015580113235669138,0.011709970676869094,0.027427836250204354,0.013608446043850196,0.013956316355693383,0.009552301222413047,0.027362345302658825,0.03247186862992578,0.02146037331333377,0.011979413562640684,0.014455570212182366,0.032209961416479874,0.008021892892934448,0.024730688935676884,0.007234422036131902,0.018956911580850343,0.010218341934459753,0.01541489024680037,0.022727171825652644,0.006780785313272859,0.008750063490753544,0.024934327800639602,0.011844020067612282,0.02608341948845877,0.009176885212008707,0.025184769699606688,0.021766919261506767,0.009362706764306982,0.013936159281464994,0.016638543492824544,0.02253689487187113,0.013422349795929047,0.016382430228941012,0.01951642131398872,0.01418881788077998,0.01707365286331525,0.01567376591799113,0.012064125877046784,0.01970988262486642,0.021382512822582522,0.01660136806741714
Purchase,0.0026846904555636484,0.010668388918106701,0.007265325674105372,0.0006911817318670215,0.016582436868554738,0.024046339225801593,0.009189322079724158,0.006586740546354668,0.017631565394856018,0.03168165960237727,0.0018064554015172784,0.03388910411545937,0.033365410649680745,0.0007443328368154932,0.0036169513723194008,0.009090185401763528,0.031098794218908456,0.01700153662063402,0.020004911334543945,0.014935306303195289,0.050251644602713,0.01652567743730858,0.035578263149454274,0.003779592332912832,0.026952972849932005,0.03771310712509221,0.0021256032843626808,0.013426701208265031,0.02188951747802294,0.042569710408511305,0.002552988618839187,0.004653825749892088,0.03550916193487425,0.0021703973883276787,0.016372193710231176,0.0030900287997572633,0.0280857616492314,0.0035096019519079524,0.02984326248151105,0.018385764847568403,0.01571753029357349,0.0075596461078297926,0.03282388184987975,0.003603548749740817,0.016247465474754256,0.013829724529198728,0.029652735270581272,0.027870767615790645,0.0024464821587216585,0.003907530616093376,0.006659948631325351,0.0047672656037665495,0.02804252775473519,0.015975959200738056,0.009456358001770453,0.011654249289284276,0.023872508942532674,0.009427708722528393,0.006419733677849856,0.015951867660013844,0.02500962065602853,0.0015365234323990616
