,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand
Clear.Brand,0.005875235277762952,0.0017311334086261244,0.008188480823544406,0.019465062245657496,0.0037173458642442364,0.006853360361805233,0.0,0.01523064326183048,0.0040506961265336806,0.0,0.014752611505289722,0.0,0.0013538772328285922,0.0,0.0,0.11013996790946025,0.0,0.008896371290753552,0.10536176348167813,0.0019717288993504087,0.0016213508069646838,0.0,0.0,0.003513843749447119,0.05124138655014669,0.0,0.02347549429041088,0.015348742142726201,0.006518803608223783,0.006851666789199387,0.00025238153296252793,0.002852175321233256,0.08516077272260954,0.03331403946305029,0.009027916750176728,0.0,0.02590886859450211,0.005620989817746835,0.0012648162013605075,0.012112553678536269,0.0045446167987838685,0.0030532139490491955,0.17780948070443833,0.00917354521029263,0.014063072909841835,0.0,0.019837283014022933,0.013272598863493036,8.536203856582442e-06,0.010982857995465056,0.0240307645823694,0.0026244803591816642,0.0007217792560195303,0.007261802985464709,0.004114104072619525,0.08137210331742553,0.0019634426925478877,0.0010221346395587214,0.00030285783955512433,0.026049013358659293,0.002652127904310193,0.003466103634382884
Message.Delivery,0.0,0.0035962621933330755,0.0008130046286186142,0.012270898925817286,0.02509934488319178,0.029635928410359426,0.0,0.00030642083808264154,0.004075139827523457,0.043651159599996534,0.0,0.0,3.123476816709614e-06,0.01421904128040174,0.0,0.021126376468794693,0.0037498883532992707,9.23133498318741e-05,0.02370613089922456,0.007338922237744021,0.0,0.00012871346617484916,3.952060876265469e-05,0.06034984817025625,0.016347070552527126,0.014409523136653985,0.2113596485019889,0.0005197759570713168,0.019795797431739124,0.014176144541264903,0.005933178251476994,0.006878195971832683,0.03704683667717027,0.011701005776093345,0.038262865232059615,0.0,0.0033986420546374334,0.0,0.06540803736072293,0.0003414172956630239,4.394516900317824e-06,0.0,0.0,0.0035671309229098037,0.0005743266299546251,0.019059475163142044,0.05611313594725535,0.02606771961252656,0.005935616666251647,0.0,0.007766752411457609,0.024691843328467092,0.005161001863185813,0.0,0.004139626365619169,0.006866113022260029,0.016332657877774045,0.048832979041092045,0.002671005258279681,0.027818385904158083,0.04861765910963498,0.0
Clear,0.028224662202800583,0.0,0.0,0.0,0.01084462265171351,0.029087075312349824,0.0038455717337870393,0.0,0.005969478812314256,0.031868567796651245,0.004245911071787713,0.0031056380248040286,0.01846088894268354,0.0,0.0,0.06056571962273442,0.009645486666148523,0.005244457653230771,0.032273553016722856,0.0212868850997818,0.0,0.012819282656999992,0.014883449127937117,0.04602124146852572,0.004876875387993518,0.0026862209964336444,0.18393132474356916,0.00018758337956073132,0.008805088802714581,0.010696861827239862,3.646450677724174e-06,0.003615537642288087,0.029484766369120813,0.018296728768422955,0.05353768408757418,0.0,0.011600339133207163,0.0,0.05116336212382238,0.0005809917123878897,0.0032984585004492534,0.01644407417024579,0.0025162698102674896,0.0014918869201464358,0.0056907735204289565,0.026799867218476325,0.04214866510906446,0.03490503026902489,0.00532384460748662,0.00909461333321435,0.009515434023529454,0.012279900318449251,0.0007785498692282003,5.785355701449475e-05,0.007860111275991705,2.283419508187958e-05,0.02022681787624139,0.0231582336749738,0.0,0.020043410257047627,0.040483868207652166,0.0
Understood,0.01011909014797687,0.00708445731433931,0.0006376554047581069,0.00046566345812774207,0.008087723164558558,0.024702463442525677,0.0,0.00023165329534167818,0.00031210320380844326,0.10280223826727146,0.0,0.0,0.0,0.0020576881720999318,0.0080607415986596,0.028283090827911955,0.00035522076072386514,0.004195684368074961,0.033231818226520014,0.001505670258398848,0.0018682971441713835,0.012568310309840442,0.021629015940547846,0.024015510814301633,0.016212667705437996,0.0,0.1928697594271798,0.003322958879590687,0.002303821113886802,0.00819550908783598,0.0,0.015756336335789226,0.0376647847024473,0.0024786545001189444,0.028086607450094433,0.0,0.0,0.007152755078635285,0.07776805163190363,0.005274334829256774,0.0017419590475353706,0.0069486725963987675,0.13648632502819286,0.006626259185506134,0.018363829855451107,0.03376261840558773,0.01784105941299338,0.015240727345058705,0.0001017996522302482,0.0,0.00021913351769283648,0.01993279831982368,0.0037205469501556663,0.0036045587390653613,0.004675305160971226,0.00044527822414066,0.008623501750598322,0.009500179659372,0.0038874961727297383,0.017047927714366633,0.0014084694052413525,0.0005212169947530256
Reputation,0.0,0.00607824571082559,0.02039450607937696,0.0,0.0,0.01898238481815718,0.007639754745472618,0.009804571297657015,0.003040088814825581,0.00011485550360921115,0.03506897721261381,0.0002982553737003187,0.01096962387228732,0.0018897305136022816,0.007083386130585737,0.0014110223296454963,0.014435464397021569,0.009168776047004997,0.0016826663136011557,0.0020632749714054434,0.006665726174894321,0.01157621628322203,0.0,0.024738471850061696,0.00317984018943816,0.014333280606743022,0.0,0.0038675843993959944,0.005181835199336282,0.00059776205917756,0.0,0.012193757819097968,0.055843438599628356,0.01779023394881948,0.00695379274104391,0.0,0.008103201787200061,0.009187894313572215,0.027367783014663225,0.003523161373042533,0.0,0.0583433105162959,0.06926955115576616,0.0,0.03015422170183433,0.03288436303544148,0.07653531689509978,0.054538568308396526,0.006978634354881564,0.015609151252077926,0.0023312211859875718,0.10899888214948013,0.008639541256099425,0.011010922770306075,0.00498481934015921,0.005697841323753726,0.006302059840889155,0.058582704429905534,0.007688849554536197,0.05617119703036548,0.02089131383540952,0.003157965572585158
Relevant,0.03370198401138679,0.0014820329786964601,0.008542788884457437,0.0,0.0,0.0278275886072901,0.0,0.008025856099780215,0.015660222201087107,0.0005071631220749829,0.007311897400684662,0.009382772613368446,0.015492338270272235,0.0,0.03471522460422562,0.00894398001514313,0.00022046308120689728,0.003371321717237157,0.002189349042704557,3.095485613893976e-05,0.005507026130546416,2.497347764658415e-05,0.018111259735881978,0.037266099372837126,0.0021113343936752737,0.015452188974880706,0.07355621110034685,0.0018340489214741437,0.010480826857700099,0.005815541611037496,0.014268123673459842,0.007829077994695172,0.10963454290917987,0.010429257959742894,0.03371079891919297,0.0,0.0,0.004291653354877084,0.018875073135464347,0.016494138359376354,0.005148773508419123,0.03029054622157731,0.15873967746957826,0.0,0.0162271465419221,0.04936032794051444,0.00869065560368958,0.008703854796486145,2.7096955802863854e-05,0.008760004258143536,0.0,0.0051086547049095255,0.0,0.0004536165739877485,0.004824897083683904,0.016012920577364392,0.022031690044571173,0.028494628373443517,0.0060939872572438065,0.01720104075975679,0.05073236694113562,0.0
See.Again,0.009803512982826338,0.0016987024249857617,0.005095965902214112,0.0,0.006364155602236865,0.005201385417030761,0.0,0.009723527729404751,0.0031441615493380455,0.06647224859897663,0.015298787776976654,0.010736666725582105,0.0,0.00833719910434161,0.016378108486961362,0.015000027932604609,0.0,0.0007891665524123049,0.01087996754215406,5.020810993070003e-05,0.0,0.0008313780648499269,0.004527906770804135,4.024780230299563e-06,0.0,0.0006643994806507179,0.20338839610001327,6.488474423778701e-05,0.004013489606146852,0.012266097136704455,0.03423682538260994,0.0,0.011749230663608822,0.0,0.026540008596744994,0.002935655617384335,0.003934498339221173,0.06198688242697211,0.006610417552988831,0.0,0.05705371584387593,0.0,0.019173023971753973,0.003800705105526668,0.0146052788845898,0.021581167548313594,0.09852125534587476,0.018710068702586173,0.01003408333235048,0.007300295615777731,0.012205899481075817,0.04375020379897391,0.008404616705805891,0.0010989463087936896,0.005906603215402262,0.0,0.04270067743153218,0.011175850537664978,0.009283541616484873,0.03129497765009263,0.01885271970056401,0.005818481501816317
Like,0.022317723107775418,0.002152906109729878,0.0,0.005107037209869761,0.0,0.009309307224107607,0.0005400911109058903,0.010274205573411344,0.016389185015184,0.0880194513736383,0.0069624175938570974,0.009085155015598456,0.003530310189120335,0.006252760532137002,0.00248551009442592,0.007876797325045006,0.0,0.0,0.00011785667457533932,0.006626707954629127,0.015804898559435166,0.007350627052410143,0.001389740769814247,0.0018566317522418392,0.004901808955831529,0.02604277588127376,0.10602091256646644,0.027103018457329087,0.009674561532339773,0.0022752449162288606,0.03178308346964739,0.0,0.014791856464797911,0.001041776767692523,0.04825757767649527,0.0,0.0022568357319902514,0.04071167549636285,0.0315724244607171,0.0027611339872110293,0.04720315826134576,0.018114921887694296,0.005920688774403202,0.0,0.003068705726244917,0.016961155677932507,0.07983762405363419,0.018299104206143876,0.0,0.0,0.01530222666378811,0.037269903160845254,0.013007697061182365,0.004177135535722479,0.004044477357734478,0.014077960132753482,0.09097828771576655,0.006865106406155577,0.012523149648444679,0.027914451773332946,0.007227721762451386,0.00456251759212831
Dislike,0.012981073558837618,0.004105292123865646,0.019427404232174747,0.005410517872005496,0.0005304384378994495,0.004614761402750279,0.004741689287158958,0.017671653898148388,0.013590668214094197,0.0056511260113976496,0.05685237715462966,0.0,0.006273259860041352,0.0,0.003357905077945032,0.0,0.0027098356535240507,0.00298014728388008,0.017921795052140043,0.0016862909755672854,0.009200080986096617,0.01903878670529748,0.006761708996351547,0.10977607550732017,0.0028057854840862553,0.0017648919161725345,0.0,0.04667671078233611,0.09526411050857367,0.015875354298915272,0.0034348586324542286,0.0034558577692332146,0.07931850888781772,0.0,0.011305357031581224,0.0,0.016701066427187848,0.005105929552765486,0.005704394532653459,0.016071275519456737,0.0,0.0,0.004407030922415918,0.008919943672705656,0.029292791215556984,0.009693679448622558,0.04715648003368518,0.01366338545176497,0.00101211123811709,0.012306351871871794,0.02138700767841973,0.05445228232418138,0.014503757501709498,0.015953374553608797,0.011769411809127339,0.01078289017341807,0.06360543622756204,0.018734272453225467,0.0021603086493964937,0.020092259150839363,0.001180964294818596,0.010159271694593594
Purchase,0.0024942827955606057,0.015212615463195097,0.015778362254077655,0.0,0.040051041723600106,0.022552688510832468,0.0007088351204949179,0.00669814585963828,0.004717661325965736,0.00153517328000414,0.0,0.01513693841998465,0.023477800823661674,0.0,0.005441864906967512,0.035131561701930145,0.0021746727349509143,0.007316483342575885,0.004913345993799795,0.008628205399499083,0.0,0.008947793756590444,0.005964340495147786,0.005109241264587087,0.0,0.018076593785825643,0.0,0.0010149798504527567,0.002475582987045796,0.06005795404498179,0.0027533149122781343,0.03478639990366496,0.02288372959243091,0.008787923831343266,0.01853204643916693,0.0,0.012699734981254384,0.0,0.0,0.026539787451023474,0.05604628428031987,0.09635531237201338,0.10940855688521656,0.0038948207910790944,0.010340688522274204,0.07125483559145969,0.013659292391227464,0.006995307880970592,0.0,0.00791683637869616,0.004620964984091049,0.007200048451960972,0.0,0.0046061007974836955,0.004248466548481804,0.03533087367067679,0.003162850062357728,0.02372706605628212,0.066083155585669,0.005226369340561666,0.020115236095208888,0.009207830361437247
