,People,Female,Male,Female.Celebrity,Male.Celebrity,Child,Teen,Elderly,Multiple.Ethnicities,Ethnic.Minority,Disability.Representation,Animal,Dog,Cat,Prominent.Animal,Voiceover,Female.Voiceover,Male.Voiceover,Amazon'.in.Voiceover,Products,Prominent.Music,Pop.Culture.Music,Jingle.Appearance,Dancing,Parent-Child.Interation,Dialogue,Animated,Humor,High-arousal.Happiness,Low-arousal.Happiness,Sadness,Prominent.Amazon.Logo,Number.of.Amazon.Logo.Appearance,Smile.Logo,Amazon.Brands,Non-Amazon.Brands,Amazon.App,Amazon.Website,Amazon.Search.Bar,Amazon.Boxes,Amazon.Box.Opening,Amazon.Vans,Amazon.Employee,Amaon.Devices,Start.card,End.card,Number.of.Benefits,Selection.Benefit,Shipping.Benefit,Price.Information,Amazon.Saves.the.Day,Call.to.Action,Disadvantaged,Meaning,Transformation,Mastery,Belonging,Autonomy,Awe,Mix,Benefits,Brand
Clear.Brand,0.0006644579296176556,0.012280803496956885,0.0011811894886001341,0.029173749650706973,0.0023401014861534385,0.01617660132029849,0.001464809420607252,0.011607982225427445,0.01720439427768873,0.015804611195972096,0.005208982541334701,0.004814992531384579,0.0073954078113837515,9.052869831152931e-05,0.0008093513867179599,0.026970538656314474,0.015075824035676177,0.01593489713532676,0.011851557347179553,0.016815328433403002,0.008147132582387525,0.01074846924342087,0.01895051798498432,0.013420710312919084,0.023229676118274485,0.04897933913585417,0.053044163979751396,0.010457963987574962,0.0071409481585942665,0.019573543288924602,0.0136576094847617,0.0036944014014025513,0.07410152893717623,0.0036441668745805698,0.011693031744014723,0.0017191570215295297,0.01339666952462698,0.016218175036371543,0.03343645858922431,0.010147585048656463,0.002328762934979924,0.0016809884557406625,0.08059902033859169,0.0015933662765999317,0.03337218655353995,0.0028167074621906285,0.013248905576696786,0.03603834609631985,0.0005281937752312462,0.0043949575211563955,0.018952589171721348,0.018973493704938758,0.0127332328578747,0.008429210853044067,0.006838478952732657,0.02989216123980761,0.014104140292939906,0.0066501716566,0.025087386332298012,0.026011108954462295,0.02910920060396001,0.01835003286448149
Message.Delivery,0.06610909484799841,0.0033584616271995402,0.003239220352866854,0.012892381247676417,0.0052417302304660586,0.033277566662253504,0.0004233779579867814,0.016110564812396082,0.008720466596158605,0.04983815992147036,0.0,0.006035482557064982,0.003948422875684422,0.0,0.0008986106543601976,0.017604167289937994,0.008086569470291231,0.00655290166024099,0.04773783389806207,0.01517664283755595,0.01614232492859043,0.00526651342675488,0.0012260135666470212,0.04523052303155083,0.004853979648857627,0.02112008951664011,0.13932565228995789,0.0023457085463377625,0.009993366324217842,0.0007492440588898122,0.0,0.0,0.05979800371350203,0.0012366207028419779,0.03842032572387367,0.0007920363281718814,0.015242620439256234,0.01281389344520613,0.026863074196737623,0.021168386565239904,0.00017882264771890423,0.020448944706304446,0.008060757486238572,0.0,0.012072016816971943,0.011761820821202527,0.023868816350004905,0.011898174447941206,0.0009754320345747397,0.009408728507885612,0.004640134856754265,0.00836795009590959,0.017482052117844905,0.008940033385652893,0.006467421560755508,0.015181425803241713,0.016725371193628873,0.005939383871591573,0.0014500931147390366,0.03946552221706925,0.045236802231694725,0.0035902637793308995
Clear,0.03334551025287152,0.011652343683137145,0.013969520669608364,0.004080859958491289,0.006541771805250667,0.020664015498467688,0.003656151159692435,0.009512443479728716,0.010477369901337892,0.045530744566968706,0.0008599385980371111,0.007266488331985686,0.009851684732053782,0.0013429928963465294,0.0034068443063001394,0.03385553698722288,0.015635008516128753,0.011702638133042518,0.025049887648793734,0.01461635913113633,0.012850354976607307,0.008716983602586109,0.01488341325160184,0.015851509121941935,0.013115812144543026,0.015127824966369129,0.10934671665965809,0.008849530116910252,0.017199171807893838,0.009493054795892993,0.004612475313904036,0.0049442326047149775,0.0370102948065001,0.0031393418424907208,0.016901194569417802,0.0019239725179632094,0.022059702040839072,0.00960282385463265,0.03125529052625662,0.013484444461913438,0.0025026445834601444,0.004094345397100454,0.013862846839293057,0.0038058209576074488,0.018026999911759323,0.009284306541261646,0.030987772604904602,0.01771548909364618,0.005473372507898491,0.010670301012807934,0.012260203012178176,0.01028320214798106,0.013148805681732344,0.007429786374012108,0.006851907748522031,0.014273052322485212,0.02073165007861688,0.017599787699268874,0.006788259324447043,0.06573275238813094,0.04473974422668929,0.01035069530695792
Understood,0.04023204503828213,0.0130293779551396,0.011744558475071998,0.014183776730533131,0.015015891406185807,0.017530251306840734,0.0030113346983744785,0.008675466964900925,0.009655215714554423,0.06078739613992872,0.0037011775513873784,0.004601632560071383,0.007802927960971798,0.003122139396209928,0.0059087859798467954,0.02816807630466205,0.011058965639578068,0.014695183217803375,0.030529893915486415,0.01418841751856259,0.014447733106247095,0.017534161354815735,0.019995988930951697,0.009592515283172712,0.011894526205280193,0.02222835011698045,0.12488770619452555,0.010665559900975067,0.009043798513269743,0.007722883938760874,0.0029861143554657903,0.006086150056197206,0.03392788576535528,0.0022872307082234156,0.019743678218996252,0.006242651642450931,0.017727302798443652,0.007372502986449037,0.02708143067140644,0.015142077097736732,0.007589166510500564,0.007700784307865018,0.03884403295219891,0.002915739628560498,0.013434689210165293,0.012730422660761112,0.027148773017416163,0.01834878877282838,0.009855564261326225,0.01173317991368065,0.0064332905065013525,0.011561093634457571,0.013461905189412338,0.006779686019970006,0.003415773432047683,0.01105351374391324,0.013769666300438127,0.008962448307589561,0.013624902337628234,0.023284195362069323,0.021236486181363725,0.011863135429210588
Reputation,0.009348743633882576,0.008010106332761441,0.01570278686905123,0.0004692617065060827,0.004655011438461027,0.013690529052681144,0.012374704813431118,0.024217090574210006,0.0027791233389483547,0.00878772805437165,0.019849110145739937,0.006691849189731759,0.008321068797507282,0.005893567640538258,0.005163294409564647,0.014449662086157689,0.017933248488156934,0.013069127684647542,0.007029739302565322,0.012849309910331215,0.015578127927863497,0.01389599217290566,0.017870442352341007,0.02948959213595829,0.011228471599249801,0.01438159036643256,0.02305120756844488,0.015916358194748837,0.027313708218856717,0.007224552062181329,0.009210556811669185,0.009166779806808896,0.03584951331483388,0.006059423355956478,0.024544571913108965,0.0029566162220877263,0.017909830743162505,0.00558453920351295,0.012760959393336498,0.0065234478297337035,0.0168632482762203,0.029038605626845286,0.04500493629871056,0.0020193088057000558,0.013485876295774614,0.04564972741803165,0.04604223781570968,0.03048017666740794,0.01261975831912815,0.01852293342770419,0.023751283635526907,0.026094126702064745,0.010912177814647643,0.04319085490759406,0.00812282074326418,0.008054002085811304,0.023709354086412875,0.027668589327927758,0.013732812340984755,0.011097997855889427,0.016042102562774607,0.01009572432343091
Relevant,0.026262600643937623,0.020051719655062764,0.01702300853971212,0.006876957540406041,0.010779509816333072,0.01845087343114225,0.009508016527529221,0.01261908469073478,0.012811822563946574,0.016139028966219916,0.006232869973343214,0.012786945984574237,0.013204378797642347,0.0034967214934688204,0.009620883063353826,0.016396496239295396,0.01643108206510606,0.010776304408358427,0.018307362739487562,0.018170426248663617,0.015280195763342875,0.012001555530304773,0.011042418692122264,0.01609260102466442,0.017476011360284253,0.025468669010332408,0.0335025007700749,0.015554143145460584,0.015802423708329367,0.01120508150133999,0.007485222709349775,0.010619901937209329,0.04921389321317144,0.00579252580751885,0.020363742119874764,0.008254082553820737,0.013529788064085686,0.00997476083708146,0.013516405296140623,0.030449151699951008,0.008999198252233246,0.015627986527101692,0.032734169177769355,0.007272640862283833,0.017758765928376694,0.02789674834719028,0.032264076602583756,0.017273221749234045,0.0101528840460783,0.01359626493944264,0.007158673285613585,0.017091223547792526,0.02115437254059258,0.018213004190497317,0.01817686314133835,0.013583013118602683,0.019497653125715827,0.015953348813888317,0.011394792808474455,0.01729251187289802,0.027575937669394937,0.010761481320120201
See.Again,0.10433898140765822,0.006401602019574182,0.016497263276221672,0.015591170172802904,0.011785719028555233,0.020083562336717,0.0062608528989315775,0.015742997538311557,0.0008235890066795868,0.04870475066744062,0.014749077766616728,0.007530793923676412,0.0,0.024631610945773003,0.026286985472145162,0.004643227386685159,0.0029916009162868247,0.005588108032876261,0.005095276491368009,0.00217138176346305,0.05556126841479677,0.016603960071570105,0.014879185276329088,0.02139025428616082,0.010680071263157832,0.00812055396350602,0.024696092450401008,0.006339751686377777,0.008308149238878617,0.008442926702774555,0.01485531833209584,0.008127893027214925,0.023479325207857622,0.006457825595398485,0.0201302501387873,0.027451664149820754,0.010012291370599393,0.0037069049150287034,0.008620286405927092,0.009601738573933016,0.02228513832575021,0.009450897317535494,0.03482751913332287,0.013384463130002047,0.015234151873145954,0.012025769067112443,0.01836372393871651,0.02652134307065098,0.014819965039607913,0.02223593523482655,0.009157581309208209,0.014629604646334695,0.0,0.04002868146529269,0.014114288458927319,0.0046387651608543416,0.022727510314807894,0.006238475285625027,0.003994538812309116,0.009715446915444199,0.024857058086636897,0.013364881291489678
Like,0.02892783277686948,0.01913530497883042,0.015530442102688578,0.007163046098840176,0.005793847739091385,0.009002496292641209,0.007608784288685292,0.01465861155918882,0.016666583009257215,0.03905339695005541,0.02315820645779401,0.015294238134993289,0.0064703177029230684,0.011687575347353627,0.010924432381579805,0.010037298463793982,0.01802775843750907,0.026873654752313028,0.010707703720800005,0.009923150224804419,0.007939910380110562,0.012132076664476632,0.028527206525234963,0.010545176249922043,0.00931702043248895,0.019562831454860843,0.05110144955355333,0.00867053082893228,0.009793993747712537,0.018300077566956306,0.01868317800164561,0.00701629224605408,0.03323134064181325,0.004741627832203503,0.028240055057082568,0.006450385758562044,0.005412652437232952,0.009236882022960819,0.01026360269169313,0.012675852141646522,0.01593294023991287,0.011167128246907963,0.012667501224477674,0.006500487747653085,0.01490861811234113,0.014181390183027952,0.026713116304770215,0.025970091820828323,0.01358083120790766,0.02084218300151408,0.006344578279442842,0.035666813689093815,0.03868142708912543,0.025590748863653603,0.007888321854381972,0.006805105447807326,0.035591192139050876,0.0071130753671123335,0.012716211330243558,0.013745705190892963,0.01743830240255984,0.011467406602139261
Dislike,0.0005980524244887862,0.0029854406987649402,0.0022924022501925267,0.0,0.0,0.01036824830634423,0.010810766935555171,0.005386629935939053,0.036375586453488463,0.01564774787868722,0.0041486024170863,0.004381469096912938,0.0017579997269000995,0.0,0.004412570887261351,0.016734753744838453,0.010478897649023069,0.023739027680477424,0.04323538702784325,0.026068336031074633,0.0014894387540710487,0.006587077459632461,0.009251378071921966,0.12946680200825103,0.003142747777271187,0.003583058612196163,0.0,0.033340472756920383,0.12483475641866354,0.013834019025586543,0.008677473196734438,0.007398961277846044,0.03449986428210804,0.0005464118400366716,0.00781540690453599,0.0005027607347390676,0.01645671948147484,0.0008658069163194044,0.018959048567290814,0.01940341917996915,0.009629880572386326,0.0010779195554885932,0.00999242184027887,0.0077812593739958425,0.04239775771479423,0.0009354090323013066,0.017125870444479066,0.01456822668259425,0.00023907612791204517,0.005642027395802413,0.042045370937302984,0.04189956655481843,0.014868289215109957,0.007711191118198881,0.010097599515646935,0.012503531077068983,0.03234872619391981,0.017668324395159047,0.0,0.022485799851986652,0.026709493092747928,0.0021947168975607768
Purchase,0.009331799155869543,0.02907418846258718,0.005462411734388811,0.0,0.008748653156476173,0.019192429512161217,0.014348061656479541,0.030818121391139243,0.016084409859335527,0.007312438932463113,0.0,0.01685567844284767,0.016569083308600616,0.007812192002044827,0.0,0.03703117642943614,0.03622933681597694,0.04425089525006648,0.008259233143274753,0.018271995404595988,0.02997232937267582,0.008194694183247983,0.015921381740976254,0.012230116026712468,0.008023800154516416,0.0233541296642546,0.0,0.03418063977545345,0.0,0.040675234010290454,0.0,0.0,0.029444036284974683,0.0,0.010034939564341105,0.0,0.010906161621103467,0.002095663408327655,0.0,0.04274669507569396,0.0017167237067843909,0.022533101747245234,0.050089706087338856,0.008274184266472398,0.0,0.04291863155114432,0.015262077872844485,0.03146017132104269,0.00403233754730962,0.004085320702583136,0.01467023212523461,0.00895400838993266,0.016942206460049576,0.012939328398035887,0.029646430483880652,0.018666744193065,0.024691033259017576,0.03697327913588415,0.014429486635862035,0.027203340268450872,0.018461525525036694,0.0026182047824730614
