,MSE,RMSE_validation,RMSE_test,R_squared_validation,R_squared_test
Clear.Brand,0.003584553144395604,0.057190322747839986,0.06375650458901999,-0.3506125741030721,0.16657184737028274
Message.Delivery,0.010916560793680101,0.10321850452133836,0.101520688581868,-0.13584103073698234,0.17899865492024392
Clear,0.009228656213921688,0.09461835238522258,0.09657713630942692,-0.08140527406547227,0.19871765725233803
Understood,0.007508214745826147,0.08531724256913013,0.08173235977646903,0.010615213589553973,0.26719651295835833
Reputation,0.012052427499532744,0.10689334012671814,0.10256387892082755,-0.22827202803435975,0.1839952990227639
Relevant,0.008427518163399551,0.08864992301108483,0.08842604443819357,-0.1199535022498927,0.2643505358199254
See.Again,0.010192250798405057,0.0990879496281128,0.08999301065204124,-0.1678620628911392,0.3644401593588056
Like,0.01435841209996582,0.11834165298247439,0.11323963465578263,-0.2204204581433978,0.3113965579882936
Dislike,0.0018478491528505878,0.042111586198812306,0.0425916089876888,-0.0892593424931935,0.18332381796806174
Purchase,0.002751265311266259,0.0515122297553246,0.048862575825965544,-0.589765745970203,0.06647673654118935
Recommend,0.001984477240588158,0.04431022367750847,0.04116277208774998,-0.19256900264491741,0.08989409486979694
Branding.Correct.Recall,0.0070084499113952465,0.08099315932075801,0.0747611364051872,-0.42984609629823795,-0.1452980960798751
