Target,recall,f1_score,acc_validation,acc_test,mcc
Clear.Brand,0.6649245063879211,0.6649245063879211,0.6649245063879211,0.7096774193548387,0.1630190561359013
Message.Delivery,0.49988385598141694,0.49988385598141694,0.49988385598141694,0.6129032258064516,0.11580080858758258
Clear,0.5146341463414634,0.5146341463414634,0.5146341463414634,0.5645161290322581,0.1738875703219519
Understood,0.6356562137049943,0.6356562137049943,0.6356562137049943,0.6935483870967742,0.25731007853901655
Reputation,0.5580720092915216,0.5580720092915216,0.5580720092915216,0.5161290322580645,0.10264844388314923
Relevant,0.6554006968641116,0.6554006968641116,0.6554006968641116,0.5967741935483871,-0.016373378716035794
See.Again,0.5389082462253195,0.5389082462253195,0.5389082462253195,0.5806451612903226,0.31473170078669754
Like,0.5434378629500581,0.5434378629500581,0.5434378629500581,0.5967741935483871,0.24945085464852845
Dislike,0.664692218350755,0.664692218350755,0.664692218350755,0.6612903225806451,-0.00362190487677089
Purchase,0.8641114982578397,0.8641114982578397,0.8641114982578397,0.8709677419354839,0.0
Recommend,0.6452961672473868,0.6452961672473868,0.6452961672473868,0.7419354838709677,0.2991830368027063
Branding.Correct.Recall,0.7279907084785133,0.7279907084785133,0.7279907084785133,0.8225806451612904,0.1655024419484151
