Feature,Clear.Brand,Message.Delivery,Clear,Understood,Reputation,Relevant,See.Again,Like,Dislike,Purchase,Recommend,Branding.Correct.Recall
People,0.0012,0.0024,0.0013,0.0023,-0.0002,0.0014,0.0024,0.0013,0.0002,0.0005,0.0006,0.0004
Female,0.0001,0.0011,0.0004,0.0004,0.0018,0.0002,0.0014,0.002,0,0.0001,0.0002,-0.0003
Male,0,0.0004,-0.0002,0,0.0011,0.0003,0.0007,0.0005,0.0004,0.0002,0.001,0.0025
Female.Celebrity,-0.0046,-0.0056,-0.0041,-0.0077,-0.007,-0.0055,-0.004,-0.0009,0,-0.0031,0.0011,0
Male.Celebrity,-0.0011,-0.0035,-0.0072,-0.0036,-0.0006,-0.0037,-0.0043,-0.0003,0,-0.0066,-0.0046,0.0001
Child,0.0017,0.0073,0.0057,0.0057,0.0014,0.0035,0.0033,0.003,-0.0003,-0.0007,0.0009,0.0026
Teen,0.0005,-0.0004,0.0013,-0.0001,-0.0003,-0.0007,0.0002,0.0004,0.0002,-0.002,0,0.0004
Elderly,-0.0021,-0.0003,-0.0015,-0.0018,0.0059,0.0005,0.0012,0.0027,-0.002,-0.0018,0.0013,-0.0047
Multiple.Ethnicities,0.0011,0.0028,0.0012,0.0028,0.0021,0.0005,0.0026,0.0033,0.0006,0.0015,0.0021,0.0041
Ethnic.Minority,0.0006,0.0039,0.003,0.005,-0.0001,0.0013,0.0041,0.0051,0.0002,-0.0001,0,0.0029
Disability.Representation,0.0018,-0.0018,-0.0022,0.001,-0.0019,0.0024,0.0096,0.0132,-0.0006,0.0014,0.0028,0
Animal,-0.0007,-0.0008,0.0011,0.0001,0.0007,0.0018,-0.0004,-0.0007,-0.0003,0.002,0.0013,-0.0026
Dog,0,-0.0002,0.0004,-0.0002,-0.0018,0.0033,-0.002,-0.0046,-0.0002,0.0033,-0.0002,-0.002
Cat,-0.0033,-0.0073,-0.0071,-0.0079,-0.0052,-0.0066,-0.006,-0.0012,0,-0.0001,0,0
Prominent.Animal,-0.0003,0,-0.0002,0.0033,0.0011,0.0046,0.005,0.004,0.0005,0.0003,0.0006,-0.0015
Voiceover,0.0036,0.0037,0.0038,0.0036,0.0007,0.0014,-0.0002,-0.0006,0.0001,0.0008,0.0012,0.0001
Female.Voiceover,0.0006,0.0032,0.0036,0.0021,0.0048,0.0011,0,0.0023,0.0003,-0.0017,0.0005,0.0008
Male.Voiceover,0.0003,-0.0005,-0.0005,-0.0007,0.0003,0.0003,-0.003,-0.0041,0.0005,0.0005,-0.0005,-0.0028
Amazon'.in.Voiceover,0.0083,0.0057,0.0046,0.0047,0.0013,0.0037,-0.0004,-0.0011,0.0001,-0.0002,0.0006,0.0006
Products,0.0009,0.0006,0.0005,0.0001,0.0008,-0.0006,0,0.0002,0.0005,0,-0.0002,0.0026
Prominent.Music,-0.0002,-0.0009,-0.0011,-0.0007,-0.0006,-0.0005,-0.0005,-0.0004,0,0,0.0005,-0.0003
Pop.Culture.Music,-0.0003,-0.002,-0.003,-0.0026,0.002,-0.0005,-0.0009,-0.0004,0.0006,0.0002,0.0002,-0.003
Jingle.Appearance,-0.0002,-0.0015,-0.0003,-0.0028,-0.0019,-0.0006,-0.0051,-0.0102,-0.0002,0.0001,0,0.0003
Dancing,-0.0065,-0.0126,-0.0175,-0.0128,-0.0079,-0.0088,0.0014,0.0003,0.0113,-0.0005,-0.0009,0.0008
Parent-Child.Interation,0.0008,0.0019,0.0032,0.0021,0.0005,0.001,-0.0005,0.0005,0,-0.001,0.0003,0.0032
Dialogue,-0.0034,-0.0021,0.0016,-0.0038,-0.0017,-0.0032,-0.005,-0.0046,0.0003,0.0003,-0.0039,-0.0001
Animated,-0.013,-0.085,-0.0977,-0.0938,-0.004,-0.0266,-0.0324,-0.0488,-0.0003,-0.0095,-0.0133,-0.0172
Humor,-0.0008,-0.0013,0.0002,-0.0009,-0.0047,-0.0007,0,-0.0008,0.0068,0.0013,0.0001,0.0003
High-arousal.Happiness,-0.0013,-0.0034,-0.0005,-0.0013,-0.0034,-0.0012,-0.0016,0.0009,0.006,-0.0002,-0.0007,0.0023
Low-arousal.Happiness,-0.0002,0.0006,-0.0004,0.0006,0.0005,0.0006,0.0032,0.0027,0.0001,0.0013,0,0.0005
