Feature,Propotion
Female.Celebrity,0.043689320388349516
Cat,0.05339805825242718
Animated,0.05339805825242718
Non-Amazon.Brands,0.05339805825242718
Disability.Representation,0.05825242718446602
Male.Celebrity,0.06310679611650485
Amazon.Vans,0.0970873786407767
Awe,0.10194174757281553
Shipping.Benefit,0.10679611650485436
Dog,0.12135922330097088
Amaon.Devices,0.1262135922330097
Prominent.Amazon.Logo,0.13106796116504854
Prominent.Animal,0.13592233009708737
Price.Information,0.13592233009708737
Amazon.Website,0.1407766990291262
Amazon.Box.Opening,0.1407766990291262
Sadness,0.1650485436893204
Amazon.Saves.the.Day,0.18446601941747573
Teen,0.18932038834951456
Dancing,0.1941747572815534
Call.to.Action,0.1941747572815534
Jingle.Appearance,0.20388349514563106
Transformation,0.2087378640776699
Dialogue,0.21359223300970873
Pop.Culture.Music,0.21844660194174756
Mastery,0.22330097087378642
Animal,0.24271844660194175
Elderly,0.2524271844660194
Female.Voiceover,0.27184466019417475
Amazon.Employee,0.27184466019417475
Autonomy,0.27184466019417475
Parent-Child.Interation,0.2815533980582524
Amazon.Search.Bar,0.2961165048543689
Selection.Benefit,0.2961165048543689
Amazon.Brands,0.33980582524271846
Amazon.App,0.33980582524271846
Humor,0.35436893203883496
Start.card,0.36893203883495146
Meaning,0.3737864077669903
Child,0.39805825242718446
Disadvantaged,0.4077669902912621
Mix,0.4174757281553398
High-arousal.Happiness,0.4320388349514563
Multiple.Ethnicities,0.4563106796116505
Male.Voiceover,0.5048543689320388
Belonging,0.5194174757281553
Amazon.Boxes,0.5242718446601942
Number.of.Benefits,0.5388349514563107
Benefits,0.5970873786407767
Ethnic.Minority,0.6019417475728155
Amazon'.in.Voiceover,0.6067961165048543
Products,0.7135922330097088
Low-arousal.Happiness,0.7427184466019418
Female,0.7669902912621359
Male,0.7961165048543689
Voiceover,0.7961165048543689
End.card,0.883495145631068
Smile.Logo,0.8932038834951457
Brand,0.8980582524271845
Prominent.Music,0.9029126213592233
People,0.9223300970873787
Number.of.Amazon.Logo.Appearance,1.0
