,MSE,RMSE,R_squared
Clear.Brand,0.004924691138851471,0.07017614365902042,0.03679793712491208
Message.Delivery,0.013522923366255062,0.11628810500758477,-0.11220225574499221
Clear,0.011892681504010096,0.10905357171596947,-0.05892693324431364
Understood,0.00989698304632234,0.099483581792788,-0.18520443928393804
Reputation,0.014934100657625092,0.12220515806472775,-0.2722847224986533
Relevant,0.011445898466938815,0.10698550587317338,-0.10958299560115425
See.Again,0.009567194551486332,0.097812036843562,0.19278288607029925
Like,0.016044677957036912,0.12666758842354625,0.11296467185932091
Dislike,0.00268892503048769,0.05185484577633695,-0.2179187729172538
Purchase,0.004351283110134161,0.06596425630698918,-0.7306057819587226
Recommend,0.0032399845604863743,0.05692086226056642,-0.6245583466019795
Branding.Correct.Recall,0.00831989891799868,0.09121347991387391,-0.6363363499947938
