,MSE,RMSE,R_squared
Clear.Brand,0.0035663380990622797,0.0597188253322374,0.3024731669308429
Message.Delivery,0.011496658075353895,0.10722247001143881,0.054449345113865566
Clear,0.010775503447956632,0.1038051224552846,0.040546842487899415
Understood,0.007769617099708257,0.08814543153055782,0.06955638551563692
Reputation,0.011095887509225503,0.10533701870294936,0.054705168781403524
Relevant,0.008990886616269391,0.09482028589004249,0.12840962781503562
See.Again,0.01165017311306654,0.10793596765243058,0.017034819716302607
Like,0.01742573804892922,0.13200658335450252,0.036612307849645864
Dislike,0.0023024315653326914,0.0479836593574593,-0.0428608440107201
Purchase,0.0022507266426722164,0.047441823770510934,0.10483403565598248
Recommend,0.001977628350654928,0.04447053350989763,0.008398779822925917
Branding.Correct.Recall,0.004657491786424915,0.06824581882009267,0.08397647795430974
